Disaggregation,Number of indicators,Number of values
Access to Basic Services,1,7
Age at most recent live birth,1,3
Age group,29,54
Arms class,1,3
Category of disaster effect,3,4
Category of school,1,2
Circumcision status,1,2
Cities,1,14
Delivery coverage,1,2
Discrimination,1,8
Distance,1,3
Education level,10,8
Education Level,11,16
Education Status,1,5
Educational level,1,4
Ethnicity,24,16
Facility Type,1,2
Financial soundness indicator,1,4
Form of violence,1,7
Gender,33,2
Geographical zone,1,6
Geopolitical zone,33,7
Geopolitical Zone,14,6
Grade,1,3
Haemoglobin level,1,4
Health service,1,5
Help source,1,12
ICT skill,1,10
Managed by,1,7
Marital status,2,4
Maternity status,1,3
Measure,5,14
Mother's education level,1,7
Number of sexual partners,1,3
Period,4,8
Place of delivery,1,4
Positions,1,2
Religion,1,5
School type,3,4
Sector,53,7
Severity,1,3
Sex,3,2
State,52,37
Tenure rights,1,4
Tobacco type,1,3
Treatment interventions,1,7
Type of decision,1,6
Type of service,1,5
Unt multiplier,1,1
Wealth Index Quintile,36,7
