Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-2-2,5
#1-3-1,1
#1-4-1,7
#1-5-1,3
#10-3-1,2
#11-5-1,3
#11-7-2,2
#16-1-1,1
#16-1-3,2
#16-1-4,2
#16-2-1,1
#16-5-1,1
#16-9-1,1
#16-b-1,16
#17-8-1,2
#2-1-2,3
#2-2-1,1
#2-2-2,1
#2-2-3,4
#3-2-1,1
#3-2-2,1
#3-6-1,3
#3-7-1,1
#3-7-2,1
#3-8-1,5
#3-8-2,1
#3-b-1,1
#3-b-3,3
#4-1-2,3
#4-2-1,1
#4-2-2,1
#4-3-1,2
#4-4-1,20
#4-5-1,3
#4-6-1,6
#4-a-1,5
#5-2-1,7
#5-2-2,1
#5-3-2,1
#5-6-1,1
#5-a-1,2
#5-b-1,1
#6-1-1,1
#6-2-1,2
#6-b-1,7
#7-1-1,1
#7-1-2,1
#8-10-2,2
#8-6-1,1
#8-7-1,4
#9-1-1,6
