Year,Series,Period,Financial soundness indicator,Units,Value
2016,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),10.7
2016,Financial Soundness Indicators,Full Year,Non Performing Loans to total gross loans,Percentage (%),12.8
2017,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),15.0
2017,Financial Soundness Indicators,Full Year,Non Performing Loans to total gross loans,Percentage (%),14.81
2018,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),12.45
2018,Financial Soundness Indicators,Full Year,Non Performing Loans to total gross loans,Percentage (%),11.6
2019,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),9.33
2019,Financial Soundness Indicators,Full Year,Non Performing Loans to total gross loans,Percentage (%),6.03
2020,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),6.41
2020,Financial Soundness Indicators,Full Year,Non Performing Loans to total gross loans,Percentage (%),6.02
2021,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),5.7
2021,Financial Soundness Indicators,Full Year,Non Performing Loans to total gross loans,Percentage (%),4.93
2022,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),4.95
2022,Financial Soundness Indicators,Full Year,Non Performing Loans to total gross loans,Percentage (%),4.21
2023,Financial Soundness Indicators,Half Year,Non Performing Loans to total gross loans,Percentage (%),4.14
2016,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),14.7
2016,Financial Soundness Indicators,Full Year,Capital Adequacy Ratio,Percentage (%),14.8
2017,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),11.5
2017,Financial Soundness Indicators,Full Year,Capital Adequacy Ratio,Percentage (%),10.48
2018,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),12.11
2018,Financial Soundness Indicators,Full Year,Capital Adequacy Ratio,Percentage (%),15.21
2019,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),15.27
2019,Financial Soundness Indicators,Full Year,Capital Adequacy Ratio,Percentage (%),14.57
2020,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),14.96
2020,Financial Soundness Indicators,Full Year,Capital Adequacy Ratio,Percentage (%),15.05
2021,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),15.46
2021,Financial Soundness Indicators,Full Year,Capital Adequacy Ratio,Percentage (%),14.55
2022,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),14.11
2022,Financial Soundness Indicators,Full Year,Capital Adequacy Ratio,Percentage (%),13.76
2023,Financial Soundness Indicators,Half Year,Capital Adequacy Ratio,Percentage (%),11.23
2016,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),14.0
2016,Financial Soundness Indicators,Full Year,Liquid assets to total assets,Percentage (%),16.2
2017,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),17.2
2017,Financial Soundness Indicators,Full Year,Liquid assets to total assets,Percentage (%),18.81
2018,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),20.06
2018,Financial Soundness Indicators,Full Year,Liquid assets to total assets,Percentage (%),22.64
2019,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),22.48
2019,Financial Soundness Indicators,Full Year,Liquid assets to total assets,Percentage (%),22.99
2020,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),18.16
2020,Financial Soundness Indicators,Full Year,Liquid assets to total assets,Percentage (%),22.58
2021,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),20.98
2021,Financial Soundness Indicators,Full Year,Liquid assets to total assets,Percentage (%),20.54
2022,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),20.08
2022,Financial Soundness Indicators,Full Year,Liquid assets to total assets,Percentage (%),19.82
2023,Financial Soundness Indicators,Half Year,Liquid assets to total assets,Percentage (%),16.85
2016,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),21.6
2016,Financial Soundness Indicators,Full Year,Liquid assets to short term liabilities,Percentage (%),24.5
2017,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),25.9
2017,Financial Soundness Indicators,Full Year,Liquid assets to short term liabilities,Percentage (%),27.18
2018,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),29.5
2018,Financial Soundness Indicators,Full Year,Liquid assets to short term liabilities,Percentage (%),34.15
2019,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),35.11
2019,Financial Soundness Indicators,Full Year,Liquid assets to short term liabilities,Percentage (%),35.32
2020,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),27.33
2020,Financial Soundness Indicators,Full Year,Liquid assets to short term liabilities,Percentage (%),32.58
2021,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),30.78
2021,Financial Soundness Indicators,Full Year,Liquid assets to short term liabilities,Percentage (%),29.95
2022,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),29.61
2022,Financial Soundness Indicators,Full Year,Liquid assets to short term liabilities,Percentage (%),28.67
2023,Financial Soundness Indicators,Half Year,Liquid assets to short term liabilities,Percentage (%),26.75
