Year,Series,Sector,Delivery coverage,Health service,Geopolitical Zone,State,GeoCode,Value
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,,NG,10.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,,NG,65.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,,NG,37.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,,NG,22.9
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,,NG,20.6
2017,Coverage of essential health services,Urban,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,,NG,17.9
2017,Coverage of essential health services,Urban,Reproductive and Maternal Health,Antenatal care coverage,,,NG,87.4
2017,Coverage of essential health services,Urban,Reproductive and Maternal Health,Delivery in a health facility,,,NG,61.0
2017,Coverage of essential health services,Urban,Child Health,Vacination/Immunization coverage,,,NG,38.5
2017,Coverage of essential health services,Urban,Child Health,Anti-malaria treatment for children,,,NG,26.1
2017,Coverage of essential health services,Rural,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,,NG,7.7
2017,Coverage of essential health services,Rural,Reproductive and Maternal Health,Antenatal care coverage,,,NG,56.8
2017,Coverage of essential health services,Rural,Reproductive and Maternal Health,Delivery in a health facility,,,NG,27.6
2017,Coverage of essential health services,Rural,Child Health,Vacination/Immunization coverage,,,NG,15.7
2017,Coverage of essential health services,Rural,Child Health,Anti-malaria treatment for children,,,NG,18.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,North  Central,,NGNCZ06,13.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,North East,,NGNEZ05,6.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,North West,,NGNWZ04,7.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,South East,,NGSEZ03,14.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,South South,,NGSSZ02,11.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,South West,,NGSWZ01,21.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,North  Central,,NGNCZ06,62.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,North East,,NGNEZ05,67.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,North West,,NGNWZ04,53.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,South East,,NGSEZ03,91.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,South South,,NGSSZ02,81.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,South West,,NGSWZ01,89.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,North  Central,,NGNCZ06,44.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,North East,,NGNEZ05,25.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,North West,,NGNWZ04,17.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,South East,,NGSEZ03,87.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,South South,,NGSSZ02,66.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,South West,,NGSWZ01,76.6
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,North  Central,,NGNCZ06,26.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,North East,,NGNEZ05,19.6
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,North West,,NGNWZ04,8.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,South East,,NGSEZ03,44.4
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,South South,,NGSSZ02,42.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,South West,,NGSWZ01,50.2
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,North  Central,,NGNCZ06,21.1
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,North East,,NGNEZ05,9.1
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,North West,,NGNWZ04,22.1
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,South East,,NGSEZ03,33.1
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,South South,,NGSSZ02,23.5
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,South West,,NGSWZ01,37.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Abia,NGAB01,9.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Adamawa,NGAD02,7.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Akwa Ibom,NGAK03,10.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Anambra,NGAN04,16.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Bauchi,NGBA05,8.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Bayelsa,NGBY06,10.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Benue,NGBE07,13.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Borno,NGBO08,5.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Cross River,NGXR09,16.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Delta,NGDE10,8.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Ebonyi,NGEB11,2.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Edo,NGED12,10.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Ekiti,NGEK13,24.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Enugu,NGEN14,18.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Gombe,NGGO15,6.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Imo,NGIM16,21.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Jigawa,NGJI17,1.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Kaduna,NGKD18,21.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Kano,NGKN19,5.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Katsina,NGKT20,4.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Kebbi,NGKE21,5.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Kogi,NGKO22,6.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Kwara,NGKW23,23.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Lagos,NGLA24,17.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Nasarawa,NGNA25,13.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Niger,NGNI26,8.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Ogun,NGOG27,18.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Ondo,NGON28,18.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Osun,NGOS29,22.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Oyo,NGOY30,30.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Plateau,NGPL31,19.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Rivers,NGRI32,11.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Sokoto,NGSO33,4.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Taraba,NGTA34,5.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Yobe,NGYO35,3.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Zamfara,NGZA36,5.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,Federal Capital Territory,NGFC37,19.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Abia,NGAB01,90.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Adamawa,NGAD02,80.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Akwa Ibom,NGAK03,80.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Anambra,NGAN04,98.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Bauchi,NGBA05,59.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Bayelsa,NGBY06,62.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Benue,NGBE07,67.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Borno,NGBO08,89.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Cross River,NGXR09,81.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Delta,NGDE10,77.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Ebonyi,NGEB11,75.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Edo,NGED12,91.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Ekiti,NGEK13,87.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Enugu,NGEN14,93.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Gombe,NGGO15,67.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Imo,NGIM16,95.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Jigawa,NGJI17,51.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Kaduna,NGKD18,76.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Kano,NGKN19,65.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Katsina,NGKT20,45.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Kebbi,NGKE21,45.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Kogi,NGKO22,80.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Kwara,NGKW23,74.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Lagos,NGLA24,92.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Nasarawa,NGNA25,67.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Niger,NGNI26,47.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Ogun,NGOG27,85.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Ondo,NGON28,85.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Osun,NGOS29,95.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Oyo,NGOY30,86.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Plateau,NGPL31,61.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Rivers,NGRI32,87.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Sokoto,NGSO33,35.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Taraba,NGTA34,45.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Yobe,NGYO35,41.2
