Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Age group,Tobacco type,Units,GeoCode,Value
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Urban,Female,,,,,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Rural,Female,,,,,Cigarettes,Percentage (%),NG,0.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Lowest,,,,Cigarettes,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Second,,,,Cigarettes,Percentage (%),NG,0.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Middle,,,,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Fourth,,,,Cigarettes,Percentage (%),NG,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Highest,,,,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North  Central,,,Cigarettes,Percentage (%),NGNCZ06,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North East,,,Cigarettes,Percentage (%),NGNEZ05,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North West,,,Cigarettes,Percentage (%),NGNWZ04,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South East,,,Cigarettes,Percentage (%),NGSEZ03,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South South,,,Cigarettes,Percentage (%),NGSSZ02,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South West,,,Cigarettes,Percentage (%),NGSWZ01,0.6
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,None,,Cigarettes,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,Primary,,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,Secondary,,Cigarettes,Percentage (%),NG,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,More than Secondary,,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,15-19,Cigarettes,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,20-24,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,25-29,Cigarettes,Percentage (%),NG,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,30-34,Cigarettes,Percentage (%),NG,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,35-39,Cigarettes,Percentage (%),NG,0.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,40-44,Cigarettes,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,45-49,Cigarettes,Percentage (%),NG,0.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Urban,Female,,,,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Rural,Female,,,,,Other type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Lowest,,,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Second,,,,Other type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Middle,,,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Fourth,,,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Highest,,,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North  Central,,,Other type of tobacco,Percentage (%),NGNCZ06,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North East,,,Other type of tobacco,Percentage (%),NGNEZ05,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North West,,,Other type of tobacco,Percentage (%),NGNWZ04,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South East,,,Other type of tobacco,Percentage (%),NGSEZ03,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South South,,,Other type of tobacco,Percentage (%),NGSSZ02,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South West,,,Other type of tobacco,Percentage (%),NGSWZ01,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,None,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,Primary,,Other type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,Secondary,,Other type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,More than Secondary,,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,15-19,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,20-24,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,25-29,Other type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,30-34,Other type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,35-39,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,40-44,Other type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,45-49,Other type of tobacco,Percentage (%),NG,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,,Any type of tobacco,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Urban,Female,,,,,Any type of tobacco,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Rural,Female,,,,,Any type of tobacco,Percentage (%),NG,0.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Lowest,,,,Any type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Second,,,,Any type of tobacco,Percentage (%),NG,0.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Middle,,,,Any type of tobacco,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Fourth,,,,Any type of tobacco,Percentage (%),NG,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,Highest,,,,Any type of tobacco,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North  Central,,,Any type of tobacco,Percentage (%),NGNCZ06,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North East,,,Any type of tobacco,Percentage (%),NGNEZ05,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,North West,,,Any type of tobacco,Percentage (%),NGNWZ04,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South East,,,Any type of tobacco,Percentage (%),NGSEZ03,0.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South South,,,Any type of tobacco,Percentage (%),NGSSZ02,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,South West,,,Any type of tobacco,Percentage (%),NGSWZ01,0.6
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,None,,Any type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,Primary,,Any type of tobacco,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,Secondary,,Any type of tobacco,Percentage (%),NG,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,More than Secondary,,Any type of tobacco,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,15-19,Any type of tobacco,Percentage (%),NG,0.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Female,,,,20-24,Any type of tobacco,Percentage (%),NG,0.3
