Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Form of violence,Units,GeoCode,Value
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,,Emotional Violence,Percentage (%),NG,26.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",Urban,,,,,,Emotional Violence,Percentage (%),NG,22.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",Rural,,,,,,Emotional Violence,Percentage (%),NG,29.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,15-19,,,,,Emotional Violence,Percentage (%),NG,17.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,20-24,,,,,Emotional Violence,Percentage (%),NG,29.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,25-29,,,,,Emotional Violence,Percentage (%),NG,30.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,30-39,,,,,Emotional Violence,Percentage (%),NG,27.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,40-49,,,,,Emotional Violence,Percentage (%),NG,21.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,North Central,,,Emotional Violence,Percentage (%),NGNCZ06,35.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,North East,,,Emotional Violence,Percentage (%),NGNEZ05,38.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,North West,,,Emotional Violence,Percentage (%),NGNWZ04,22.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,South East,,,Emotional Violence,Percentage (%),NGSEZ03,29.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,South South,,,Emotional Violence,Percentage (%),NGSSZ02,30.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,South West,,,Emotional Violence,Percentage (%),NGSWZ01,12.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,None,,,,Emotional Violence,Percentage (%),NG,27.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,Primary,,,,Emotional Violence,Percentage (%),NG,27.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,Secondary,,,,Emotional Violence,Percentage (%),NG,27.2
