Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Units,GeoCode,Value
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,,Percentage (%),NG,4.2
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Urban,,,,,,Percentage (%),NG,2.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Rural,,,,,,Percentage (%),NG,5.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,15-19,,,,,Percentage (%),NG,1.0
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,20-24,,,,,Percentage (%),NG,2.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,25-29,,,,,Percentage (%),NG,3.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,30-34,,,,,Percentage (%),NG,4.0
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,35-39,,,,,Percentage (%),NG,5.6
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,40-44,,,,,Percentage (%),NG,8.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,45-49,,,,,Percentage (%),NG,10.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North Central,,,Percentage (%),NGNCZ06,3.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North East,,,Percentage (%),NGNEZ05,5.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North West,,,Percentage (%),NGNWZ04,3.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South East,,,Percentage (%),NGSEZ03,5.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South South,,,Percentage (%),NGSSZ02,5.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South West,,,Percentage (%),NGSWZ01,1.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,None,,,,Percentage (%),NG,5.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Primary,,,,Percentage (%),NG,6.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Secondary,,,,Percentage (%),NG,2.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Higher,,,,Percentage (%),NG,3.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Lowest,,Percentage (%),NG,6.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Second,,Percentage (%),NG,4.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Middle,,Percentage (%),NG,4.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Fourth,,Percentage (%),NG,3.0
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Highest,,Percentage (%),NG,2.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Abia,Percentage (%),NGAB01,4.7
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Adamawa,Percentage (%),NGAD02,4.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Akwa Ibom,Percentage (%),NGAK03,6.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Anambra,Percentage (%),NGAN04,3.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Bauchi,Percentage (%),NGBA05,5.0
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Bayelsa,Percentage (%),NGBY06,16.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Benue,Percentage (%),NGBE07,5.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Borno,Percentage (%),NGBO08,1.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Cross River,Percentage (%),NGXR09,13.0
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Delta,Percentage (%),NGDE10,1.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ebonyi,Percentage (%),NGEB11,7.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Edo,Percentage (%),NGED12,4.6
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ekiti,Percentage (%),NGEK13,4.6
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Enugu,Percentage (%),NGEN14,10.1
