Year,Series,Sector,Gender,Age group,Period,Units,Value
2022,"Unemployment rate, by sex, age and persons with disabilities",,,,Q4 2022,Percentage (%),5.3
2023,"Unemployment rate, by sex, age and persons with disabilities",,,,Q1 2023,Percentage (%),4.1
2023,"Unemployment rate, by sex, age and persons with disabilities",,,,Q2 2023,Percentage (%),4.2
2023,"Unemployment rate, by sex, age and persons with disabilities",,,,Q3 2023,Percentage (%),5.0
2024,"Unemployment rate, by sex, age and persons with disabilities",,,,Q1 2024,Percentage (%),5.3
2024,"Unemployment rate, by sex, age and persons with disabilities",,,,Q2 2024,Percentage (%),4.3
2022,"Unemployment rate, by sex, age and persons with disabilities",Urban,,,Q4 2022,Percentage (%),6.3
2023,"Unemployment rate, by sex, age and persons with disabilities",Urban,,,Q1 2023,Percentage (%),5.4
2023,"Unemployment rate, by sex, age and persons with disabilities",Urban,,,Q2 2023,Percentage (%),5.9
2023,"Unemployment rate, by sex, age and persons with disabilities",Urban,,,Q3 2023,Percentage (%),6.0
2024,"Unemployment rate, by sex, age and persons with disabilities",Urban,,,Q1 2024,Percentage (%),6.0
2024,"Unemployment rate, by sex, age and persons with disabilities",Urban,,,Q2 2024,Percentage (%),5.2
2022,"Unemployment rate, by sex, age and persons with disabilities",Rural,,,Q4 2022,Percentage (%),4.0
2023,"Unemployment rate, by sex, age and persons with disabilities",Rural,,,Q1 2023,Percentage (%),2.9
2023,"Unemployment rate, by sex, age and persons with disabilities",Rural,,,Q2 2023,Percentage (%),2.5
2023,"Unemployment rate, by sex, age and persons with disabilities",Rural,,,Q3 2023,Percentage (%),4.0
2024,"Unemployment rate, by sex, age and persons with disabilities",Rural,,,Q1 2024,Percentage (%),4.3
2024,"Unemployment rate, by sex, age and persons with disabilities",Rural,,,Q2 2024,Percentage (%),2.8
2022,"Unemployment rate, by sex, age and persons with disabilities",,Male,,Q4 2022,Percentage (%),3.3
2023,"Unemployment rate, by sex, age and persons with disabilities",,Male,,Q1 2023,Percentage (%),2.5
2023,"Unemployment rate, by sex, age and persons with disabilities",,Male,,Q2 2023,Percentage (%),3.5
2023,"Unemployment rate, by sex, age and persons with disabilities",,Male,,Q3 2023,Percentage (%),4.0
2024,"Unemployment rate, by sex, age and persons with disabilities",,Male,,Q1 2024,Percentage (%),4.3
2024,"Unemployment rate, by sex, age and persons with disabilities",,Male,,Q2 2024,Percentage (%),3.4
2022,"Unemployment rate, by sex, age and persons with disabilities",,Female,,Q4 2022,Percentage (%),4.9
2023,"Unemployment rate, by sex, age and persons with disabilities",,Female,,Q1 2023,Percentage (%),4.0
2023,"Unemployment rate, by sex, age and persons with disabilities",,Female,,Q2 2023,Percentage (%),5.0
2023,"Unemployment rate, by sex, age and persons with disabilities",,Female,,Q3 2023,Percentage (%),6.0
2024,"Unemployment rate, by sex, age and persons with disabilities",,Female,,Q1 2024,Percentage (%),6.2
2024,"Unemployment rate, by sex, age and persons with disabilities",,Female,,Q2 2024,Percentage (%),5.1
2022,"Unemployment rate, by sex, age and persons with disabilities",,,15-24,Q4 2022,Percentage (%),8.3
2022,"Unemployment rate, by sex, age and persons with disabilities",,,25-34,Q4 2022,Percentage (%),6.9
2022,"Unemployment rate, by sex, age and persons with disabilities",,,35-44,Q4 2022,Percentage (%),3.5
2022,"Unemployment rate, by sex, age and persons with disabilities",,,45-55,Q4 2022,Percentage (%),2.5
2022,"Unemployment rate, by sex, age and persons with disabilities",,,55-64,Q4 2022,Percentage (%),1.6
2022,"Unemployment rate, by sex, age and persons with disabilities",,,65+,Q4 2022,Percentage (%),1.7
2023,"Unemployment rate, by sex, age and persons with disabilities",,,15-24,Q1 2023,Percentage (%),6.9
2023,"Unemployment rate, by sex, age and persons with disabilities",,,25-34,Q1 2023,Percentage (%),5.0
2023,"Unemployment rate, by sex, age and persons with disabilities",,,35-44,Q1 2023,Percentage (%),2.4
2023,"Unemployment rate, by sex, age and persons with disabilities",,,45-55,Q1 2023,Percentage (%),1.7
2023,"Unemployment rate, by sex, age and persons with disabilities",,,55-64,Q1 2023,Percentage (%),1.9
2023,"Unemployment rate, by sex, age and persons with disabilities",,,65+,Q1 2023,Percentage (%),2.9
2023,"Unemployment rate, by sex, age and persons with disabilities",,,15-24,Q2 2023,Percentage (%),7.2
2023,"Unemployment rate, by sex, age and persons with disabilities",,,25-34,Q2 2023,Percentage (%),4.7
2023,"Unemployment rate, by sex, age and persons with disabilities",,,35-44,Q2 2023,Percentage (%),2.9
2023,"Unemployment rate, by sex, age and persons with disabilities",,,45-55,Q2 2023,Percentage (%),1.9
2023,"Unemployment rate, by sex, age and persons with disabilities",,,55-64,Q2 2023,Percentage (%),1.9
2023,"Unemployment rate, by sex, age and persons with disabilities",,,65+,Q2 2023,Percentage (%),2.3
2023,"Unemployment rate, by sex, age and persons with disabilities",,,15-24,Q3 2023,Percentage (%),8.6
2023,"Unemployment rate, by sex, age and persons with disabilities",,,25-34,Q3 2023,Percentage (%),6.6
2023,"Unemployment rate, by sex, age and persons with disabilities",,,35-44,Q3 2023,Percentage (%),2.6
2023,"Unemployment rate, by sex, age and persons with disabilities",,,45-55,Q3 2023,Percentage (%),2.3
2023,"Unemployment rate, by sex, age and persons with disabilities",,,55-64,Q3 2023,Percentage (%),1.7
2023,"Unemployment rate, by sex, age and persons with disabilities",,,65+,Q3 2023,Percentage (%),1.9
2024,"Unemployment rate, by sex, age and persons with disabilities",,,15-24,Q1 2024,Percentage (%),15.2
2024,"Unemployment rate, by sex, age and persons with disabilities",,,25-34,Q1 2024,Percentage (%),13.6
2024,"Unemployment rate, by sex, age and persons with disabilities",,,35-44,Q1 2024,Percentage (%),9.2
2024,"Unemployment rate, by sex, age and persons with disabilities",,,45-55,Q1 2024,Percentage (%),6.6
2024,"Unemployment rate, by sex, age and persons with disabilities",,,55-64,Q1 2024,Percentage (%),5.7
2024,"Unemployment rate, by sex, age and persons with disabilities",,,65+,Q1 2024,Percentage (%),3.0
2024,"Unemployment rate, by sex, age and persons with disabilities",,,15-24,Q2 2024,Percentage (%),6.5
2024,"Unemployment rate, by sex, age and persons with disabilities",,,25-34,Q2 2024,Percentage (%),6.5
2024,"Unemployment rate, by sex, age and persons with disabilities",,,35-44,Q2 2024,Percentage (%),2.6
2024,"Unemployment rate, by sex, age and persons with disabilities",,,45-55,Q2 2024,Percentage (%),1.7
2024,"Unemployment rate, by sex, age and persons with disabilities",,,55-64,Q2 2024,Percentage (%),2.0
2024,"Unemployment rate, by sex, age and persons with disabilities",,,65+,Q2 2024,Percentage (%),3.0
