Year,Series,Units,Value
2019,Number of passengers by rail transportation,,2890111
2020,Number of passengers by rail transportation,,1020368
2021,Number of passengers by rail transportation,,2714458
2022,Number of passengers by rail transportation,,3212948
2023,Number of passengers by rail transportation,,2182388
2019,Volumes of goods/cargos tons by rail transportation,tonnes,200113
2020,Volumes of goods/cargos tons by rail transportation,tonnes,87440
2021,Volumes of goods/cargos tons by rail transportation,tonnes,142438
2022,Volumes of goods/cargos tons by rail transportation,tonnes,157024
2023,Volumes of goods/cargos tons by rail transportation,tonnes,318151
