Year,Series,Unit multiplier,Units,Value
2016,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,10.75
2017,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,10.75
2018,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,44.82
2019,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,123.93
2020,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,62.51
2021,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,83.74
2022,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,66.45
2023,Commercial Banks Loans to Small scale Enterprises,Billions,Naira,68.39
2016,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),0.07
2017,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),0.07
2018,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),0.29
2019,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),0.71
2020,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),0.32
2021,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),0.38
2022,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),0.36
2023,Commercial Banks Loans to Small scale Enterprises as percentage of total credit,,Percentage (%),1.18
