Year,Series,Sector,Age group,Educational level,Units,Value
2019,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",Urban,,,Percentage (%),12.0
2019,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",Rural,,,Percentage (%),41.0
2019,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,,Percentage (%),30.9
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,Males,,Percentage (%),31.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,Females,,Percentage (%),31.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,0 to 14 years old,,Percentage (%),38.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,15 to 64 years old,,Percentage (%),26.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,65 and older,,Percentage (%),19.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Without education (16+),Percentage (%),47.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Primary education (16+),Percentage (%),27.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Secondary education (16+),Percentage (%),17.0
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Tertiary/post-secondary education (16+),Percentage (%),6.0
