Year,Series,Units,Value
2016,Above-ground biomass in forest,tonnes per hectare,134.77
2017,Above-ground biomass in forest,tonnes per hectare,134.77
2018,Above-ground biomass in forest,tonnes per hectare,134.77
2019,Above-ground biomass in forest,tonnes per hectare,134.77
2020,Above-ground biomass in forest,tonnes per hectare,134.77
2016,Proportion of forest area with a long-term management plan,Percentage (%),18.38
2017,Proportion of forest area with a long-term management plan,Percentage (%),16.5
2018,Proportion of forest area with a long-term management plan,Percentage (%),14.63
2019,Proportion of forest area with a long-term management plan,Percentage (%),12.75
2020,Proportion of forest area with a long-term management plan,Percentage (%),10.88
2016,Proportion of forest area within legally established protected areas,Percentage (%),12.88
2017,Proportion of forest area within legally established protected areas,Percentage (%),12.88
2018,Proportion of forest area within legally established protected areas,Percentage (%),12.88
2019,Proportion of forest area within legally established protected areas,Percentage (%),12.88
2020,Proportion of forest area within legally established protected areas,Percentage (%),12.88
