Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,,,,,NG,90.4
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,Urban,,,,,,NG,90.7
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,Rural,,,,,,NG,90.2
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,,,,2-Jan,NG,78.8
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,,,,4-Mar,NG,91.6
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,,,,9-May,NG,93.1
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,,,,14-Oct,NG,91.8
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Male,,,,,,,NG,90.4
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Female,,,,,,,NG,90.4
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Hausa,,,,,NG,87.2
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Igbo,,,,,NG,94.1
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Yoruba,,,,,NG,92.0
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Fulani,,,,,NG,87.9
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Kanuri,,,,,NG,88.5
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Ijaw,,,,,NG,95.8
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Tiv,,,,,NG,92.6
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Ibibio,,,,,NG,95.6
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Edo,,,,,NG,88.9
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,Other ethnicity,,,,,NG,92.0
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,Poorest,,,,NG,87.8
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,Second,,,,NG,90.5
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,Middle,,,,NG,92.8
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,Fourth,,,,NG,91.6
2021,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,,,,Richest,,,,NG,89.5
