Year,Series,Age group,Type of decision,GeoCode,Value
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,,own care,NG,82.0
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,20-24,own care,NG,83.7
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,25-29,own care,NG,82.7
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,30-34,own care,NG,85.3
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,35-39,own care,NG,81.2
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,40-44,own care,NG,80.5
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,45-49,own care,NG,80.0
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,,making major household purchases,NG,80.3
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,20-24,making major household purchases,NG,81.1
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,25-29,making major household purchases,NG,82.4
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,30-34,making major household purchases,NG,83.5
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,35-39,making major household purchases,NG,80.2
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,40-44,making major household purchases,NG,77.8
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,45-49,making major household purchases,NG,78.4
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,,both decisions,NG,77.7
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,20-24,both decisions,NG,79.7
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,25-29,both decisions,NG,79.2
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,30-34,both decisions,NG,80.3
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,35-39,both decisions,NG,77.0
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,40-44,both decisions,NG,75.5
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,45-49,both decisions,NG,76.7
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,,neither of the two decisions,NG,15.3
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,20-24,neither of the two decisions,NG,14.9
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,25-29,neither of the two decisions,NG,14.1
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,30-34,neither of the two decisions,NG,11.6
2018,Percentage of currently married men age 15-49 who usually make specific decisions either by themselves or jointly with their spouse,35-39,neither of the two decisions,NG,15.6
