Year,Series,Gender,Sector,Discrimination,Education level,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,,NG,13.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,Urban,Ethnic or immigration origin,,,,,,,NG,11.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,Rural,Ethnic or immigration origin,,,,,,,NG,15.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,15-19,NG,10.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,15-17,NG,10.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,18-19,NG,11.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,20-24,NG,13.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,25-29,NG,15.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,30-34,NG,15.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,35-39,NG,14.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,40-44,NG,15.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,,,,,45-49,NG,14.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,None,,,,,,NG,18.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,Primary,,,,,,NG,15.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,Junior secondary,,,,,,NG,13.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,Senior secondary,,,,,,NG,11.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,Higher/tertiary,,,,,,NG,14.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Hausa,,,,,NG,15.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Igbo,,,,,NG,9.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Yoruba,,,,,NG,2.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Fulani,,,,,NG,21.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Kanuri,,,,,NG,19.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Ijaw,,,,,NG,16.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Tiv,,,,,NG,7.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Ibibio,,,,,NG,23.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Edo,,,,,NG,5.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Male,,Ethnic or immigration origin,,Other ethnicity,,,,,NG,18.5
