Year,Series,Measure,Sex,Sector,Age group,Geopolitical zone,State,GeoCode,Value
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,,,,NG,32.0
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,Male,,,,,NG,34.8
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,Female,,,,,NG,29.2
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,,North  Central,,NGNCZ06,29.7
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,,North East,,NGNEZ05,42.8
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,,North West,,NGNWZ04,50.4
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,,South East,,NGSEZ03,17.2
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,,South South,,NGSSZ02,20.4
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,,South West,,NGSWZ01,20.8
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,0-5 Months,,,NG,17.9
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,6-11 Months,,,NG,26.5
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,12-23 Months,,,NG,38.2
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,24-35 Months,,,NG,35.4
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,36-47 Months,,,NG,34.3
2018,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,Stunting,,,48-59 Months,,,NG,29.8
