Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2017,Under 5 mortality rate,,,,,,,,Percentage (%),NG,120
2017,Under 5 mortality rate,Urban,,,,,,,Percentage (%),NG,78
2017,Under 5 mortality rate,Rural,,,,,,,Percentage (%),NG,138
2017,Under 5 mortality rate,,Male,,,,,,Percentage (%),NG,126
2017,Under 5 mortality rate,,Female,,,,,,Percentage (%),NG,114
2017,Under 5 mortality rate,,,Poorest,,,,,Percentage (%),NG,158
2017,Under 5 mortality rate,,,Second,,,,,Percentage (%),NG,156
2017,Under 5 mortality rate,,,Middle,,,,,Percentage (%),NG,125
2017,Under 5 mortality rate,,,Fourth,,,,,Percentage (%),NG,80
2017,Under 5 mortality rate,,,Richest,,,,,Percentage (%),NG,56
2017,Under 5 mortality rate,,,,North  Central,,,,Percentage (%),NGNCZ06,103
2017,Under 5 mortality rate,,,,North East,,,,Percentage (%),NGNEZ05,115
2017,Under 5 mortality rate,,,,North West,,,,Percentage (%),NGNWZ04,162
2017,Under 5 mortality rate,,,,South East,,,,Percentage (%),NGSEZ03,67
2017,Under 5 mortality rate,,,,South South,,,,Percentage (%),NGSSZ02,59
2017,Under 5 mortality rate,,,,South West,,,,Percentage (%),NGSWZ01,67
2017,Under 5 mortality rate,,,,,None,,,Percentage (%),NG,145
2017,Under 5 mortality rate,,,,,Non Formal,,,Percentage (%),NG,164
2017,Under 5 mortality rate,,,,,Primary,,,Percentage (%),NG,110
2017,Under 5 mortality rate,,,,,Senior Secondary,,,Percentage (%),NG,73
2017,Under 5 mortality rate,,,,,Higher/Tertiary,,,Percentage (%),NG,55
2017,Under 5 mortality rate,,,,,,Hausa,,Percentage (%),NG,149
2017,Under 5 mortality rate,,,,,,Igbo,,Percentage (%),NG,63
2017,Under 5 mortality rate,,,,,,Yoruba,,Percentage (%),NG,68
2017,Under 5 mortality rate,,,,,,Other ethnicity,,Percentage (%),NG,92
