Year,Series,Measure,State,GeoCode,Value
2016,Death rate due to road traffic injuries,Number of Crash,,NG,9694
2016,Death rate due to road traffic injuries,Number of Fatality,,NG,5053
2016,Death rate due to road traffic injuries,Number Injured,,NG,30105
2017,Death rate due to road traffic injuries,Number of Crash,,NG,9383
2017,Death rate due to road traffic injuries,Number of Fatality,,NG,5121
2017,Death rate due to road traffic injuries,Number Injured,,NG,22422
2018,Death rate due to road traffic injuries,Number of Crash,,NG,9741
2018,Death rate due to road traffic injuries,Number of Fatality,,NG,5181
2018,Death rate due to road traffic injuries,Number Injured,,NG,25148
2019,Death rate due to road traffic injuries,Number of Crash,,NG,11072
2019,Death rate due to road traffic injuries,Number of Fatality,,NG,5483
2019,Death rate due to road traffic injuries,Number Injured,,NG,35981
2020,Death rate due to road traffic injuries,Number of Crash,,NG,8459
2020,Death rate due to road traffic injuries,Number of Fatality,,NG,3909
2020,Death rate due to road traffic injuries,Number Injured,,NG,22888
2021,Death rate due to road traffic injuries,Number of Crash,Abia,NGAB01,106
2021,Death rate due to road traffic injuries,Number of Crash,Adamawa,NGAD02,330
2021,Death rate due to road traffic injuries,Number of Crash,Akwa Ibom,NGAK03,73
2021,Death rate due to road traffic injuries,Number of Crash,Anambra,NGAN04,267
2021,Death rate due to road traffic injuries,Number of Crash,Bauchi,NGBA05,583
2021,Death rate due to road traffic injuries,Number of Crash,Bayelsa,NGBY06,48
2021,Death rate due to road traffic injuries,Number of Crash,Benue,NGBE07,227
2021,Death rate due to road traffic injuries,Number of Crash,Borno,NGBO08,86
2021,Death rate due to road traffic injuries,Number of Crash,Cross River,NGXR09,145
2021,Death rate due to road traffic injuries,Number of Crash,Delta,NGDE10,215
2021,Death rate due to road traffic injuries,Number of Crash,Ebonyi,NGEB11,124
2021,Death rate due to road traffic injuries,Number of Crash,Edo,NGED12,243
2021,Death rate due to road traffic injuries,Number of Crash,Ekiti,NGEK13,143
2021,Death rate due to road traffic injuries,Number of Crash,Enugu,NGEN14,285
2021,Death rate due to road traffic injuries,Number of Crash,Federal Capital Territory,NGFC37,1117
2021,Death rate due to road traffic injuries,Number of Crash,Gombe,NGGO15,328
2021,Death rate due to road traffic injuries,Number of Crash,Imo,NGIM16,103
2021,Death rate due to road traffic injuries,Number of Crash,Jigawa,NGJI17,353
2021,Death rate due to road traffic injuries,Number of Crash,Kaduna,NGKD18,829
2021,Death rate due to road traffic injuries,Number of Crash,Kano,NGKN19,279
2021,Death rate due to road traffic injuries,Number of Crash,Katsina,NGKT20,138
2021,Death rate due to road traffic injuries,Number of Crash,Kebbi,NGKE21,213
2021,Death rate due to road traffic injuries,Number of Crash,Kogi,NGKO22,472
2021,Death rate due to road traffic injuries,Number of Crash,Kwara,NGKW23,394
2021,Death rate due to road traffic injuries,Number of Crash,Lagos,NGLA24,596
2021,Death rate due to road traffic injuries,Number of Crash,Nasarawa,NGNA25,893
2021,Death rate due to road traffic injuries,Number of Crash,Niger,NGNI26,655
2021,Death rate due to road traffic injuries,Number of Crash,Ogun,NGOG27,1221
2021,Death rate due to road traffic injuries,Number of Crash,Ondo,NGON28,459
2021,Death rate due to road traffic injuries,Number of Crash,Osun,NGOS29,404
2021,Death rate due to road traffic injuries,Number of Crash,Oyo,NGOY30,628
2021,Death rate due to road traffic injuries,Number of Crash,Plateau,NGPL31,298
2021,Death rate due to road traffic injuries,Number of Crash,Rivers,NGRI32,105
2021,Death rate due to road traffic injuries,Number of Crash,Sokoto,NGSO33,122
2021,Death rate due to road traffic injuries,Number of Crash,Taraba,NGTA34,238
2021,Death rate due to road traffic injuries,Number of Crash,Yobe,NGYO35,174
2021,Death rate due to road traffic injuries,Number of Crash,Zamfara,NGZA36,133
2021,Death rate due to road traffic injuries,Number of Crash,,NG,13027
2022,Death rate due to road traffic injuries,Number of Crash,Abia,NGAB01,119
2022,Death rate due to road traffic injuries,Number of Crash,Adamawa,NGAD02,209
2022,Death rate due to road traffic injuries,Number of Crash,Akwa Ibom,NGAK03,89
2022,Death rate due to road traffic injuries,Number of Crash,Anambra,NGAN04,149
2022,Death rate due to road traffic injuries,Number of Crash,Bauchi,NGBA05,481
2022,Death rate due to road traffic injuries,Number of Crash,Bayelsa,NGBY06,58
2022,Death rate due to road traffic injuries,Number of Crash,Benue,NGBE07,301
2022,Death rate due to road traffic injuries,Number of Crash,Borno,NGBO08,102
2022,Death rate due to road traffic injuries,Number of Crash,Cross River,NGXR09,117
2022,Death rate due to road traffic injuries,Number of Crash,Delta,NGDE10,239
2022,Death rate due to road traffic injuries,Number of Crash,Ebonyi,NGEB11,167
2022,Death rate due to road traffic injuries,Number of Crash,Edo,NGED12,258
2022,Death rate due to road traffic injuries,Number of Crash,Ekiti,NGEK13,89
2022,Death rate due to road traffic injuries,Number of Crash,Enugu,NGEN14,231
2022,Death rate due to road traffic injuries,Number of Crash,Federal Capital Territory,NGFC37,1803
2022,Death rate due to road traffic injuries,Number of Crash,Gombe,NGGO15,327
2022,Death rate due to road traffic injuries,Number of Crash,Imo,NGIM16,94
2022,Death rate due to road traffic injuries,Number of Crash,Jigawa,NGJI17,516
2022,Death rate due to road traffic injuries,Number of Crash,Kaduna,NGKD18,775
2022,Death rate due to road traffic injuries,Number of Crash,Kano,NGKN19,407
