Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,GeoCode,Value
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,,,,NG,47.7
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",Male,,,,,,NG,46.8
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",Female,,,,,,NG,48.7
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,Urban,,,,,NG,64.2
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,Rural,,,,,NG,38.3
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Hausa,,,,NG,35.1
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Igbo,,,,NG,64.1
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Yoruba,,,,NG,73.0
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Fulani,,,,NG,33.2
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Kanuri,,,,NG,32.3
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Ijaw,,,,NG,58.6
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Tiv,,,,NG,51.6
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Ibibio,,,,NG,64.1
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Edo,,,,NG,61.8
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,Other ethnicity,,,,NG,47.2
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,Poorest,,,NG,30.4
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,Second,,,NG,37.2
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,Middle,,,NG,46.7
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,Fourth,,,NG,59.9
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,Richest,,,NG,76.9
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,,North  Central,,NGNCZ06,41.9
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,,North East,,NGNEZ05,35.0
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,,North West,,NGNWZ04,34.6
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,,South East,,NGSEZ03,58.9
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,,South South,,NGSSZ02,63.4
2021,"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",,,,,South West,,NGSWZ01,75.7
