Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,Mother's education level,School type,GeoCode,Value
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,,Primary,NG,0.95
2017,Percentage of population age 3 and above who never attended formal education,,,,,North  Central,,,,Primary,NGNCZ06,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,North East,,,,Primary,NGNEZ05,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,North West,,,,Primary,NGNWZ04,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,South East,,,,Primary,NGSEZ03,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,South South,,,,Primary,NGSSZ02,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,South West,,,,Primary,NGSWZ01,1.0
2017,Percentage of population age 3 and above who never attended formal education,,Urban,,,,,,,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,Rural,,,,,,,Primary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,None,Primary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Non-formal,Primary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Primary,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Secondary,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Higher/tertiary,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,Poorest,,,,,Primary,NG,0.8
2017,Percentage of population age 3 and above who never attended formal education,,,,Second,,,,,Primary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,Middle,,,,,Primary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,Fourth,,,,,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,Richest,,,,,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,Hausa,,,,,,Primary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,Igbo,,,,,,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,Yoruba,,,,,,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,Other ethnicity,,,,,,Primary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Abia,,,Primary,NGAB01,1.05
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Adamawa,,,Primary,NGAD02,0.93
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Akwa Ibom,,,Primary,NGAK03,0.97
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Anambra,,,Primary,NGAN04,0.99
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Bauchi,,,Primary,NGBA05,0.89
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Bayelsa,,,Primary,NGBY06,1.04
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Benue,,,Primary,NGBE07,1.05
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Borno,,,Primary,NGBO08,0.82
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Cross River,,,Primary,NGXR09,1.05
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Delta,,,Primary,NGDE10,0.96
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ebonyi,,,Primary,NGEB11,1.04
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Edo,,,Primary,NGED12,1.01
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ekiti,,,Primary,NGEK13,1.03
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Enugu,,,Primary,NGEN14,1.03
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Gombe,,,Primary,NGGO15,0.91
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Imo,,,Primary,NGIM16,0.96
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Jigawa,,,Primary,NGJI17,0.93
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kaduna,,,Primary,NGKD18,1.04
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kano,,,Primary,NGKN19,0.93
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Katsina,,,Primary,NGKT20,1.04
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kebbi,,,Primary,NGKE21,0.83
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kogi,,,Primary,NGKO22,0.98
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kwara,,,Primary,NGKW23,0.99
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Lagos,,,Primary,NGLA24,1.03
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Nasarawa,,,Primary,NGNA25,0.94
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Niger,,,Primary,NGNI26,0.79
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ogun,,,Primary,NGOG27,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ondo,,,Primary,NGON28,1.01
