Year,Series,Age group,Sector,Wealth Index Quintile,Ethnicity,Geopolitical zone,State,Education level,GeoCode,Value
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,,NG,18.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,North Central,,,NGNCZ06,8.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,North East,,,NGNEZ05,1.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,North West,,,NGNWZ04,19.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,South East,,,NGSEZ03,32.5
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,South South,,,NGSSZ02,23.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,South West,,,NGSWZ01,41.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,Urban,,,,,,NG,23.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,Rural,,,,,,NG,15.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",15-19,,,,,,,NG,12.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",20-24,,,,,,,NG,15.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",25-29,,,,,,,NG,16.9
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",30-34,,,,,,,NG,20.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",35-39,,,,,,,NG,21.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",40-44,,,,,,,NG,24.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",45-49,,,,,,,NG,27.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,None,NG,11.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Non-formal,NG,16.5
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Primary,NG,24.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Secondary,NG,20.2
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Higher,NG,21.5
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Poorest,,,,,NG,9.9
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Second,,,,,NG,14.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Middle,,,,,NG,19.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Fourth,,,,,NG,22.9
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Richest,,,,,NG,23.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Hausa,,,,NG,13.9
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Igbo,,,,NG,29.2
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Yoruba,,,,NG,45.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Other ethnicity,,,,NG,8.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Abia,,NGAB01,31.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Adamawa,,NGAD02,0.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Akwa Ibom,,NGAK03,10.5
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Anambra,,NGAN04,17.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Bauchi,,NGBA05,0.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Bayelsa,,NGBY06,28.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Benue,,NGBE07,4.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Borno,,NGBO08,4.2
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Cross River,,NGXR09,25.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Delta,,NGDE10,36.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Ebonyi,,NGEB11,43.2
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Edo,,NGED12,37.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Ekiti,,NGEK13,62.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Enugu,,NGEN14,20.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Gombe,,NGGO15,0.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Imo,,NGIM16,51.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Jigawa,,NGJI17,14.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Kaduna,,NGKD18,39.3
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Kano,,NGKN19,30.9
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Katsina,,NGKT20,0.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Kebbi,,NGKE21,0.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Kogi,,NGKO22,1.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Kwara,,NGKW23,55.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Lagos,,NGLA24,25.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Nasarawa,,NGNA25,14.5
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Niger,,NGNI26,0.6
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Ogun,,NGOG27,18.8
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Ondo,,NGON28,44.2
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Osun,,NGOS29,67.8
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Oyo,,NGOY30,55.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Plateau,,NGPL31,4.5
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Rivers,,NGRI32,15.1
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Sokoto,,NGSO33,0.5
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Taraba,,NGTA34,1.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Yobe,,NGYO35,0.0
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Zamfara,,NGZA36,26.4
2017,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Federal Capital Territory,,NGFC37,7.2
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,,NG,15.1
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,Urban,,,,,,NG,20.3
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,Rural,,,,,,NG,10.8
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",15-19,,,,,,,NG,6.7
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",15-17,,,,,,,NG,6.2
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",18-19,,,,,,,NG,7.6
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",20-24,,,,,,,NG,9.9
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",25-29,,,,,,,NG,12.8
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",30-34,,,,,,,NG,15.7
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",35-39,,,,,,,NG,20.3
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",40-44,,,,,,,NG,25.2
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",45-49,,,,,,,NG,29.1
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,None,NG,8.3
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Primary,NG,20.4
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Junior secondary,NG,14.3
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Senior secondary,NG,17.1
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,,Higher,NG,17.9
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Hausa,,,,NG,6.7
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Igbo,,,,NG,22.4
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Yoruba,,,,NG,33.8
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Fulani,,,,NG,7.3
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Kanuri,,,,NG,3.6
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Ijaw,,,,NG,15.6
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Tiv,,,,NG,1.9
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Ibibio,,,,NG,11.5
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Edo,,,,NG,32.6
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,Other ethnicity,,,,NG,9.4
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Poorest,,,,,NG,7.5
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Second,,,,,NG,10.5
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Middle,,,,,NG,16.6
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Fourth,,,,,NG,19.9
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,Richest,,,,,NG,19.0
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,North Central,,,NGNCZ06,9.1
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,North East,,,NGNEZ05,1.7
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,North West,,,NGNWZ04,8.2
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,South East,,,NGSEZ03,21.7
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,South South,,,NGSSZ02,21.4
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,South West,,,NGSWZ01,28.5
2021,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",,,,,,Abia,,NGAB01,20.3
