Year,Value,Units,Series
2010,0.48,Percentage (%),Social Protection Budget Allocation as a % of GDP
2011,0.34,Percentage (%),Social Protection Budget Allocation as a % of GDP
2012,0.6,Percentage (%),Social Protection Budget Allocation as a % of GDP
2013,0.53,Percentage (%),Social Protection Budget Allocation as a % of GDP
2014,0.64,Percentage (%),Social Protection Budget Allocation as a % of GDP
2015,0.35,Percentage (%),Social Protection Budget Allocation as a % of GDP
2016,0.2,Percentage (%),Social Protection Budget Allocation as a % of GDP
2017,0.27,Percentage (%),Social Protection Budget Allocation as a % of GDP
2018,0.35,Percentage (%),Social Protection Budget Allocation as a % of GDP
2019,0.52,Percentage (%),Social Protection Budget Allocation as a % of GDP
2020,0.69,Percentage (%),Social Protection Budget Allocation as a % of GDP
2021,0.73,Percentage (%),Social Protection Budget Allocation as a % of GDP
