Year,Value,Series
2018,5301,"(a) Number of commercial bank branches per 100,000 adults"
2019,5437,"(a) Number of commercial bank branches per 100,000 adults"
2020,5383,"(a) Number of commercial bank branches per 100,000 adults"
2021,4861,"(a) Number of commercial bank branches per 100,000 adults"
2022,5410,"(a) Number of commercial bank branches per 100,000 adults"
2018,112139743,"(b) number of automated teller machines (ATMs) per 100,000 adults"
2019,115150752,"(b) number of automated teller machines (ATMs) per 100,000 adults"
2020,118262226,"(b) number of automated teller machines (ATMs) per 100,000 adults"
2021,121534889,"(b) number of automated teller machines (ATMs) per 100,000 adults"
2022,125538430,"(b) number of automated teller machines (ATMs) per 100,000 adults"
