Year,Access to Basic Services,Sector,Wealth Index Quintile,Geopolitical zone,Education Status,State,GeoCode,Value
2017,Water,,,,,,NG,64.1
2017,Sanitation,,,,,,NG,35.9
2017,Electricity,,,,,,NG,54.4
2017,Radio,,,,,,NG,59.8
2017,Television,,,,,,NG,47.0
2017,Telephone,,,,,,NG,74.4
2021,Water,,,,,,NG,71.5
2021,Sanitation,,,,,,NG,57.5
2021,Electricity,,,,,,NG,59.1
2021,Radio,,,,,,NG,47.8
2021,Television,,,,,,NG,43.2
2021,Internet,,,,,,NG,34.6
2021,Telephone,,,,,,NG,87.6
2017,Water,Urban,,,,,NG,82.9
2017,Sanitation,Urban,,,,,NG,49.2
2017,Electricity,Urban,,,,,NG,86.8
2017,Radio,Urban,,,,,NG,66.9
2017,Television,Urban,,,,,NG,74.2
2017,Telephone,Urban,,,,,NG,89.8
2021,Water,Urban,,,,,NG,90.7
2021,Sanitation,Urban,,,,,NG,52.7
2021,Electricity,Urban,,,,,NG,88.6
2021,Radio,Urban,,,,,NG,56.7
2021,Television,Urban,,,,,NG,69.5
2021,Internet,Urban,,,,,NG,51.2
2021,Telephone,Urban,,,,,NG,95.5
2017,Water,Rural,,,,,NG,54.6
2017,Sanitation,Rural,,,,,NG,29.2
2017,Electricity,Rural,,,,,NG,35.7
2017,Radio,Rural,,,,,NG,55.7
2017,Television,Rural,,,,,NG,31.2
2017,Telephone,Rural,,,,,NG,65.5
2021,Water,Rural,,,,,NG,57.2
2021,Sanitation,Rural,,,,,NG,27.6
2021,Electricity,Rural,,,,,NG,33.1
2021,Radio,Rural,,,,,NG,40.0
2021,Television,Rural,,,,,NG,20.0
2021,Internet,Rural,,,,,NG,20.1
2021,Telephone,Rural,,,,,NG,80.7
2017,Water,,Poorest,,,,NG,37.7
2017,Sanitation,,Poorest,,,,NG,15.5
2021,Water,,Poorest,,,,NG,35.9
2021,Sanitation,,Poorest,,,,NG,9.5
2021,Radio,,Poorest,,,,NG,23.3
2021,Television,,Poorest,,,,NG,0.1
2021,Internet,,Poorest,,,,NG,6.1
2021,Telephone,,Poorest,,,,NG,61.3
2017,Water,,Second,,,,NG,52.5
2017,Sanitation,,Second,,,,NG,24.8
2021,Water,,Second,,,,NG,58.1
2021,Sanitation,,Second,,,,NG,23.9
2021,Radio,,Second,,,,NG,35.4
2021,Television,,Second,,,,NG,1.2
2021,Internet,,Second,,,,NG,12.8
2021,Telephone,,Second,,,,NG,83.2
2017,Water,,Middle,,,,NG,60.2
2017,Sanitation,,Middle,,,,NG,32.4
2021,Water,,Middle,,,,NG,77.1
2021,Sanitation,,Middle,,,,NG,36.8
2021,Radio,,Middle,,,,NG,43.1
2021,Television,,Middle,,,,NG,23.1
2021,Internet,,Middle,,,,NG,22.5
2021,Telephone,,Middle,,,,NG,91.4
2017,Water,,Fourth,,,,NG,78.9
2017,Sanitation,,Fourth,,,,NG,43.4
2021,Water,,Fourth,,,,NG,89.9
2021,Sanitation,,Fourth,,,,NG,44.7
2021,Radio,,Fourth,,,,NG,56.3
2021,Television,,Fourth,,,,NG,74.2
2021,Internet,,Fourth,,,,NG,44.2
2021,Telephone,,Fourth,,,,NG,97.4
2017,Water,,Richest,,,,NG,91.3
2017,Sanitation,,Richest,,,,NG,63.5
2021,Water,,Richest,,,,NG,96.4
2021,Sanitation,,Richest,,,,NG,76.5
2021,Radio,,Richest,,,,NG,72.5
2021,Television,,Richest,,,,NG,97.4
