Year,Series,Tenure rights,Sector,Geopolitical zone,Sex,Units,GeoCode,Value
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,,Male,Percentage (%),NG,11.3
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North Central,Male,Percentage (%),NGNCZ06,7.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North East,Male,Percentage (%),NGNEZ05,11.5
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North West,Male,Percentage (%),NGNWZ04,17.2
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South East,Male,Percentage (%),NGSEZ03,4.2
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South South,Male,Percentage (%),NGSSZ02,5.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South West,Male,Percentage (%),NGSWZ01,14.5
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Urban,,Male,Percentage (%),NG,22.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Rural,,Male,Percentage (%),NG,9.7
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,,Female,Percentage (%),NG,9.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North Central,Female,Percentage (%),NGNCZ06,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North East,Female,Percentage (%),NGNEZ05,20.3
