Year,Series,Gender,Sector,Ethnicity,Education level,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,,NG,27.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,Urban,,,,,,,NG,23.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,Rural,,,,,,,NG,30.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,15-19,NG,29.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,15-17,NG,29.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,18-19,NG,28.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,20-24,NG,29.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,25-29,NG,30.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,30-34,NG,27.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,35-39,NG,25.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,40-44,NG,24.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,,45-49,NG,25.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,None,,,,,NG,33.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,Primary,,,,,NG,27.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,Junior secondary,,,,,NG,30.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,Senior secondary,,,,,NG,25.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,Higher/tertiary,,,,,NG,27.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Hausa,,,,,,NG,32.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Igbo,,,,,,NG,22.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Yoruba,,,,,,NG,8.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Fulani,,,,,,NG,37.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Kanuri,,,,,,NG,49.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Ijaw,,,,,,NG,31.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Tiv,,,,,,NG,14.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Ibibio,,,,,,NG,35.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Edo,,,,,,NG,14.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,Other ethnicity,,,,,,NG,34.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,Poorest,,,,NG,31.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,Second,,,,NG,29.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,Middle,,,,NG,29.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,Fourth,,,,NG,27.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,Richest,,,,NG,21.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,North  Central,,,NGNCZ06,31.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,North East,,,NGNEZ05,40.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,North West,,,NGNWZ04,32.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,South East,,,NGSEZ03,23.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,South South,,,NGSSZ02,35.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,South West,,,NGSWZ01,6.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Abia,,NGAB01,31.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Adamawa,,NGAD02,25.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Akwa Ibom,,NGAK03,40.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Anambra,,NGAN04,20.1
