Year,Series,Sector,State,Age group,GeoCode,Value
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,,,NG,4.1
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,Urban,,,NG,3.5
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,Rural,,,NG,4.7
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,,15-19,NG,3.0
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,,20-24,NG,6.3
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,,25-29,NG,4.2
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,,30-39,NG,4.3
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,,40-49,NG,2.9
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Abia,,NGAB01,1.0
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Adamawa,,NGAD02,9.6
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Akwa Ibom,,NGAK03,8.2
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Anambra,,NGAN04,2.8
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Bauchi,,NGBA05,15.6
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Bayelsa,,NGBY06,4.4
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Benue,,NGBE07,2.9
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Borno,,NGBO08,3.1
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Cross River,,NGXR09,0.6
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Delta,,NGDE10,3.2
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Ebonyi,,NGEB11,10.6
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Edo,,NGED12,4.9
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Ekiti,,NGEK13,2.1
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Enugu,,NGEN14,2.5
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Gombe,,NGGO15,22.0
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Imo,,NGIM16,6.5
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Jigawa,,NGJI17,0.9
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Kaduna,,NGKD18,7.9
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Kano,,NGKN19,2.2
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Katsina,,NGKT20,3.2
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Kebbi,,NGKE21,0.4
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Kogi,,NGKO22,3.1
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Kwara,,NGKW23,1.5
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Lagos,,NGLA24,0.2
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Nasarawa,,NGNA25,1.9
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Niger,,NGNI26,3.2
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Ogun,,NGOG27,0.0
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Ondo,,NGON28,1.6
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Osun,,NGOS29,4.0
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Oyo,,NGOY30,2.3
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Plateau,,NGPL31,10.0
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Rivers,,NGRI32,4.9
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Sokoto,,NGSO33,0.7
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Taraba,,NGTA34,4.5
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Yobe,,NGYO35,3.3
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Zamfara,,NGZA36,2.5
2018,Percentage of ever-married women age 15-49 who have experieced sexual violence in the past 12 months,,Federal Capital Territory,,NGFC37,1.3
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,,,NG,13.7
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,Urban,,,NG,12.7
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,Rural,,,NG,14.6
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,,15-19,NG,18.3
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,,20-24,NG,15.5
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,,25-29,NG,14.6
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,,30-39,NG,12.9
