Year,Series,Units,Value
2016,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),68.4
2017,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),65.49
2018,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),62.23
2019,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),79.25
2020,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),77.92
2021,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),67.3
2022,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),64.24
2023,Government recurrent expenditures as a proportion of original approved budget,Percentage (%),69.67
2016,Government capital expenditures as a proportion of original approved budget,Percentage (%),10.78
2017,Government capital expenditures as a proportion of original approved budget,Percentage (%),17.02
2018,Government capital expenditures as a proportion of original approved budget,Percentage (%),18.44
2019,Government capital expenditures as a proportion of original approved budget,Percentage (%),25.93
2020,Government capital expenditures as a proportion of original approved budget,Percentage (%),15.37
2021,Government capital expenditures as a proportion of original approved budget,Percentage (%),18.56
2022,Government capital expenditures as a proportion of original approved budget,Percentage (%),18.3
2023,Government capital expenditures as a proportion of original approved budget,Percentage (%),21.88
