Year,Series,Category,Gender,State,GeoCode,Value
2021,Health worker density and distribution,Doctors,Male,Abia,NGAB01,504
2021,Health worker density and distribution,Doctors,Male,Adamawa,NGAD02,226
2021,Health worker density and distribution,Doctors,Male,Akwa Ibom,NGAK03,507
2021,Health worker density and distribution,Doctors,Male,Anambra,NGAN04,734
2021,Health worker density and distribution,Doctors,Male,Bauchi,NGBA05,327
2021,Health worker density and distribution,Doctors,Male,Bayelsa,NGBY06,425
2021,Health worker density and distribution,Doctors,Male,Benue,NGBE07,399
2021,Health worker density and distribution,Doctors,Male,Borno,NGBO08,504
2021,Health worker density and distribution,Doctors,Male,Cross River,NGXR09,375
2021,Health worker density and distribution,Doctors,Male,Delta,NGDE10,819
2021,Health worker density and distribution,Doctors,Male,Ebonyi,NGEB11,483
2021,Health worker density and distribution,Doctors,Male,Edo,NGED12,1095
2021,Health worker density and distribution,Doctors,Male,Ekiti,NGEK13,370
2021,Health worker density and distribution,Doctors,Male,Enugu,NGEN14,836
2021,Health worker density and distribution,Doctors,Male,Gombe,NGGO15,370
2021,Health worker density and distribution,Doctors,Male,Imo,NGIM16,477
2021,Health worker density and distribution,Doctors,Male,Jigawa,NGJI17,192
2021,Health worker density and distribution,Doctors,Male,Kaduna,NGKD18,812
2021,Health worker density and distribution,Doctors,Male,Kano,NGKN19,880
2021,Health worker density and distribution,Doctors,Male,Katsina,NGKT20,402
2021,Health worker density and distribution,Doctors,Male,Kebbi,NGKE21,196
2021,Health worker density and distribution,Doctors,Male,Kogi,NGKO22,256
2021,Health worker density and distribution,Doctors,Male,Kwara,NGKW23,501
2021,Health worker density and distribution,Doctors,Male,Lagos,NGLA24,2992
2021,Health worker density and distribution,Doctors,Male,Nasarawa,NGNA25,340
2021,Health worker density and distribution,Doctors,Male,Niger,NGNI26,275
2021,Health worker density and distribution,Doctors,Male,Ogun,NGOG27,676
2021,Health worker density and distribution,Doctors,Male,Ondo,NGON28,393
2021,Health worker density and distribution,Doctors,Male,Osun,NGOS29,599
2021,Health worker density and distribution,Doctors,Male,Oyo,NGOY30,992
2021,Health worker density and distribution,Doctors,Male,Plateau,NGPL31,606
2021,Health worker density and distribution,Doctors,Male,Rivers,NGRI32,1022
2021,Health worker density and distribution,Doctors,Male,Sokoto,NGSO33,322
2021,Health worker density and distribution,Doctors,Male,Taraba,NGTA34,136
2021,Health worker density and distribution,Doctors,Male,Yobe,NGYO35,225
2021,Health worker density and distribution,Doctors,Male,Zamfara,NGZA36,216
2021,Health worker density and distribution,Doctors,Male,Federal Capital Territory,NGFC37,2265
2021,Health worker density and distribution,Doctors,Male,Not applicable,NG,2817
2021,Health worker density and distribution,Doctors,Male,,NG,25566
2021,Health worker density and distribution,Doctors,Female,Abia,NGAB01,240
2021,Health worker density and distribution,Doctors,Female,Adamawa,NGAD02,52
2021,Health worker density and distribution,Doctors,Female,Akwa Ibom,NGAK03,298
2021,Health worker density and distribution,Doctors,Female,Anambra,NGAN04,334
2021,Health worker density and distribution,Doctors,Female,Bauchi,NGBA05,81
2021,Health worker density and distribution,Doctors,Female,Bayelsa,NGBY06,199
2021,Health worker density and distribution,Doctors,Female,Benue,NGBE07,88
2021,Health worker density and distribution,Doctors,Female,Borno,NGBO08,237
2021,Health worker density and distribution,Doctors,Female,Cross River,NGXR09,187
2021,Health worker density and distribution,Doctors,Female,Delta,NGDE10,388
2021,Health worker density and distribution,Doctors,Female,Ebonyi,NGEB11,192
2021,Health worker density and distribution,Doctors,Female,Edo,NGED12,495
2021,Health worker density and distribution,Doctors,Female,Ekiti,NGEK13,141
2021,Health worker density and distribution,Doctors,Female,Enugu,NGEN14,486
2021,Health worker density and distribution,Doctors,Female,Gombe,NGGO15,95
2021,Health worker density and distribution,Doctors,Female,Imo,NGIM16,290
2021,Health worker density and distribution,Doctors,Female,Jigawa,NGJI17,39
2021,Health worker density and distribution,Doctors,Female,Kaduna,NGKD18,413
2021,Health worker density and distribution,Doctors,Female,Kano,NGKN19,556
2021,Health worker density and distribution,Doctors,Female,Katsina,NGKT20,112
2021,Health worker density and distribution,Doctors,Female,Kebbi,NGKE21,47
2021,Health worker density and distribution,Doctors,Female,Kogi,NGKO22,71
2021,Health worker density and distribution,Doctors,Female,Kwara,NGKW23,278
2021,Health worker density and distribution,Doctors,Female,Lagos,NGLA24,2538
2021,Health worker density and distribution,Doctors,Female,Nasarawa,NGNA25,125
2021,Health worker density and distribution,Doctors,Female,Niger,NGNI26,101
2021,Health worker density and distribution,Doctors,Female,Ogun,NGOG27,416
2021,Health worker density and distribution,Doctors,Female,Ondo,NGON28,166
2021,Health worker density and distribution,Doctors,Female,Osun,NGOS29,296
2021,Health worker density and distribution,Doctors,Female,Oyo,NGOY30,647
2021,Health worker density and distribution,Doctors,Female,Plateau,NGPL31,308
2021,Health worker density and distribution,Doctors,Female,Rivers,NGRI32,835
2021,Health worker density and distribution,Doctors,Female,Sokoto,NGSO33,92
2021,Health worker density and distribution,Doctors,Female,Taraba,NGTA34,28
2021,Health worker density and distribution,Doctors,Female,Yobe,NGYO35,52
2021,Health worker density and distribution,Doctors,Female,Zamfara,NGZA36,31
2021,Health worker density and distribution,Doctors,Female,Federal Capital Territory,NGFC37,2216
2021,Health worker density and distribution,Doctors,Female,Not applicable,NG,1833
2021,Health worker density and distribution,Doctors,Female,,NG,15003
2021,Health worker density and distribution,Doctors,,Abia,NGAB01,744
2021,Health worker density and distribution,Doctors,,Adamawa,NGAD02,278
2021,Health worker density and distribution,Doctors,,Akwa Ibom,NGAK03,805
2021,Health worker density and distribution,Doctors,,Anambra,NGAN04,1068
2021,Health worker density and distribution,Doctors,,Bauchi,NGBA05,408
2021,Health worker density and distribution,Doctors,,Bayelsa,NGBY06,624
