Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,Education Level,Ethnicity,State,GeoCode,Value
2021,Primary school completion rate,,,,,,,,NG,73.1
2021,Primary school completion rate,,Male,,,,,,NG,72.8
2021,Primary school completion rate,,Female,,,,,,NG,73.4
2021,Primary school completion rate,Urban,,,,,,,NG,89.9
2021,Primary school completion rate,Rural,,,,,,,NG,60.7
2021,Primary school completion rate,,,,,None,,,NG,49.0
2021,Primary school completion rate,,,,,Primary,,,NG,86.0
2021,Primary school completion rate,,,,,Junior secondary,,,NG,92.9
2021,Primary school completion rate,,,,,Senior secondary,,,NG,94.7
2021,Primary school completion rate,,,,,Higher/tertiary,,,NG,96.3
2021,Primary school completion rate,,,,,,Hausa,,NG,56.2
2021,Primary school completion rate,,,,,,Igbo,,NG,96.7
2021,Primary school completion rate,,,,,,Yoruba,,NG,92.9
2022,Primary school completion rate,,,,,,Fulani,,NG,34.2
2021,Primary school completion rate,,,,,,Kanuri,,NG,40.3
2021,Primary school completion rate,,,,,,Ijaw,,NG,89.1
2021,Primary school completion rate,,,,,,Tiv,,NG,65.8
2021,Primary school completion rate,,,,,,Ibibio,,NG,95.9
2021,Primary school completion rate,,,,,,Edo,,NG,92.0
2021,Primary school completion rate,,,,,,Other ethnicity,,NG,79.2
2021,Primary school completion rate,,,Poorest,,,,,NG,33.8
2021,Primary school completion rate,,,Second,,,,,NG,61.4
2021,Primary school completion rate,,,Middle,,,,,NG,81.5
2021,Primary school completion rate,,,Fourth,,,,,NG,91.7
2021,Primary school completion rate,,,Richest,,,,,NG,96.8
2021,Primary school completion rate,,,,North  Central,,,,NGNCZ06,74.5
2021,Primary school completion rate,,,,North East,,,,NGNEZ05,48.6
2021,Primary school completion rate,,,,North West,,,,NGNWZ04,56.1
2021,Primary school completion rate,,,,South East,,,,NGSEZ03,96.9
2021,Primary school completion rate,,,,South South,,,,NGSSZ02,92.5
2021,Primary school completion rate,,,,South West,,,,NGSWZ01,92.6
2021,Primary school completion rate,,,,,,,Abia,NGAB01,94.3
2021,Primary school completion rate,,,,,,,Adamawa,NGAD02,73.0
2021,Primary school completion rate,,,,,,,Akwa Ibom,NGAK03,94.4
2021,Primary school completion rate,,,,,,,Anambra,NGAN04,99.2
2021,Primary school completion rate,,,,,,,Bauchi,NGBA05,29.5
2021,Primary school completion rate,,,,,,,Bayelsa,NGBY06,85.9
2021,Primary school completion rate,,,,,,,Benue,NGBE07,73.6
2021,Primary school completion rate,,,,,,,Borno,NGBO08,51.0
2021,Primary school completion rate,,,,,,,Cross River,NGXR09,93.0
2021,Primary school completion rate,,,,,,,Delta,NGDE10,92.4
2021,Primary school completion rate,,,,,,,Ebonyi,NGEB11,95.8
2021,Primary school completion rate,,,,,,,Edo,NGED12,90.5
2021,Primary school completion rate,,,,,,,Ekiti,NGEK13,95.4
2021,Primary school completion rate,,,,,,,Enugu,NGEN14,95.1
2021,Primary school completion rate,,,,,,,Gombe,NGGO15,49.5
2021,Primary school completion rate,,,,,,,Imo,NGIM16,98.3
2021,Primary school completion rate,,,,,,,Jigawa,NGJI17,38.0
2021,Primary school completion rate,,,,,,,Kaduna,NGKD18,71.4
2021,Primary school completion rate,,,,,,,Kano,NGKN19,69.0
2021,Primary school completion rate,,,,,,,Katsina,NGKT20,62.6
2021,Primary school completion rate,,,,,,,Kebbi,NGKE21,39.5
2021,Primary school completion rate,,,,,,,Kogi,NGKO22,84.3
2021,Primary school completion rate,,,,,,,Kwara,NGKW23,81.1
2021,Primary school completion rate,,,,,,,Lagos,NGLA24,97.9
2021,Primary school completion rate,,,,,,,Nasarawa,NGNA25,69.1
2021,Primary school completion rate,,,,,,,Niger,NGNI26,58.7
2021,Primary school completion rate,,,,,,,Ogun,NGOG27,85.5
2021,Primary school completion rate,,,,,,,Ondo,NGON28,91.3
2021,Primary school completion rate,,,,,,,Osun,NGOS29,92.2
2021,Primary school completion rate,,,,,,,Oyo,NGOY30,90.9
2021,Primary school completion rate,,,,,,,Plateau,NGPL31,78.6
2021,Primary school completion rate,,,,,,,Rivers,NGRI32,95.7
2021,Primary school completion rate,,,,,,,Sokoto,NGSO33,35.9
2021,Primary school completion rate,,,,,,,Taraba,NGTA34,63.1
