Year,Series,Sector,Gender,Geopolitical zone,Wealth Index Quintile,State,Units,GeoCode,Value
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,,Percentage (%),NG,40.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,Male,,,,Percentage (%),NG,41.2
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,Female,,,,Percentage (%),NG,40.1
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",Urban,,,,,Percentage (%),NG,30.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",Rural,,,,,Percentage (%),NG,46.5
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",Urban,Male,,,,Percentage (%),NG,30.6
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",Rural,Male,,,,Percentage (%),NG,46.9
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",Urban,Female,,,,Percentage (%),NG,30.8
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",Rural,Female,,,,Percentage (%),NG,46.0
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,North Central,,,Percentage (%),NGNCZ06,44.2
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,North East,,,Percentage (%),NGNEZ05,52.5
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,North West,,,Percentage (%),NGNWZ04,37.2
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,South East,,,Percentage (%),NGSEZ03,49.2
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,South South,,,Percentage (%),NGSSZ02,43.1
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,South West,,,Percentage (%),NGSWZ01,27.8
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Abia,Percentage (%),NGAB01,56.6
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Adamawa,Percentage (%),NGAD02,51.1
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Akwa Ibom,Percentage (%),NGAK03,54.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Anambra,Percentage (%),NGAN04,47.6
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Bauchi,Percentage (%),NGBA05,59.5
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Bayelsa,Percentage (%),NGBY06,43.2
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Benue,Percentage (%),NGBE07,32.5
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Borno,Percentage (%),NGBO08,41.1
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Cross River,Percentage (%),NGXR09,70.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Delta,Percentage (%),NGDE10,48.9
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Ebonyi,Percentage (%),NGEB11,60.5
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Edo,Percentage (%),NGED12,35.5
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Ekiti,Percentage (%),NGEK13,58.4
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Enugu,Percentage (%),NGEN14,33.2
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Gombe,Percentage (%),NGGO15,33.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Imo,Percentage (%),NGIM16,48.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Jigawa,Percentage (%),NGJI17,40.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Kaduna,Percentage (%),NGKD18,37.8
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Kano,Percentage (%),NGKN19,28.3
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Katsina,Percentage (%),NGKT20,37.9
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Kebbi,Percentage (%),NGKE21,47.7
2022,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",,,,,Kogi,Percentage (%),NGKO22,53.2
