Year,Series,Measure,Sector,Geopolitical Zone,State,Unit multiplier,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,,Units,Index,NG,0.257
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),Rural,,,Units,Index,NG,0.302
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),Urban,,,Units,Index,NG,0.155
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,North  Central,,Units,Index,NGNCZ06,0.272
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,North East,,Units,Index,NGNEZ05,0.324
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,North West,,Units,Index,NGNWZ04,0.324
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,South East,,Units,Index,NGSEZ03,0.183
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,South South,,Units,Index,NGSSZ02,0.25
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,South West,,Units,Index,NGSWZ01,0.151
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Abia,Units,Index,NGAB01,0.101
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Adamawa,Units,Index,NGAD02,0.283
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Akwa Ibom,Units,Index,NGAK03,0.293
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Anambra,Units,Index,NGAN04,0.109
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Bauchi,Units,Index,NGBA05,0.298
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Bayelsa,Units,Index,NGBY06,0.401
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Benue,Units,Index,NGBE07,0.312
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Borno,Units,Index,NGBO08,0.315
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Cross River,Units,Index,NGXR09,0.299
