Year,Series,Category of disaster effect,State,Unit multiplier,Units,GeoCode,Value
2022,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Deaths,,Units,Number,NG,0.02
2022,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Displaced Persons,,Units,Number,NG,26.05
2022,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Directly Affected Persons,,Units,Number,NG,48.77
2023,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Deaths,,Units,Number,NG,0.01
2023,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Displaced Persons,,Units,Number,NG,2.76
2023,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Directly Affected Persons,,Units,Number,NG,6.43
2024,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Deaths,,Units,Number,NG,0.01
2024,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Displaced Persons,,Units,Number,NG,1.9
2024,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Directly Affected Persons,,Units,Number,NG,5.56
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,,Units,Number,NG,1987.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,,Units,Number,NG,2604953.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,,Units,Number,NG,4877280.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,,Units,Number,NG,792.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,,Units,Number,NG,275984.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,,Units,Number,NG,642841.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,,Units,Number,NG,600.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,,Units,Number,NG,190401.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,,Units,Number,NG,556483.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Abia,Units,Number,NGAB01,37414.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Adamawa,Units,Number,NGAD02,193544.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Akwa Ibom,Units,Number,NGAK03,67688.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Anambra,Units,Number,NGAN04,730960.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Bauchi,Units,Number,NGBA05,25122.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Bayelsa,Units,Number,NGBY06,1344014.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Benue,Units,Number,NGBE07,149274.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Borno,Units,Number,NGBO08,36829.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Cross River,Units,Number,NGXR09,170082.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Delta,Units,Number,NGDE10,14786.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ebonyi,Units,Number,NGEB11,57001.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Edo,Units,Number,NGED12,31182.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ekiti,Units,Number,NGEK13,7775.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Enugu,Units,Number,NGEN14,38035.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Gombe,Units,Number,NGGO15,36173.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Imo,Units,Number,NGIM16,89872.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Jigawa,Units,Number,NGJI17,180863.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kaduna,Units,Number,NGKD18,16834.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kano,Units,Number,NGKN19,101042.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Katsina,Units,Number,NGKT20,315260.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kebbi,Units,Number,NGKE21,23891.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kogi,Units,Number,NGKO22,472091.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kwara,Units,Number,NGKW23,39378.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Lagos,Units,Number,NGLA24,25687.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Nasarawa,Units,Number,NGNA25,60756.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Niger,Units,Number,NGNI26,52974.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ogun,Units,Number,NGOG27,4885.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ondo,Units,Number,NGON28,8291.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Osun,Units,Number,NGOS29,4308.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Oyo,Units,Number,NGOY30,6194.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Plateau,Units,Number,NGPL31,40632.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Rivers,Units,Number,NGRI32,128164.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Sokoto,Units,Number,NGSO33,29784.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Taraba,Units,Number,NGTA34,197547.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Yobe,Units,Number,NGYO35,44088.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Zamfara,Units,Number,NGZA36,44025.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Federal Capital Territory,Units,Number,NGFC37,156.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Abia,Units,Number,NGAB01,14881.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Adamawa,Units,Number,NGAD02,24542.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Akwa Ibom,Units,Number,NGAK03,65036.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Anambra,Units,Number,NGAN04,528129.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Bauchi,Units,Number,NGBA05,2738.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Bayelsa,Units,Number,NGBY06,1210183.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Benue,Units,Number,NGBE07,87282.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Borno,Units,Number,NGBO08,23728.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Cross River,Units,Number,NGXR09,91276.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Delta,Units,Number,NGDE10,6146.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ebonyi,Units,Number,NGEB11,24509.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Edo,Units,Number,NGED12,9639.0
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ekiti,Units,Number,NGEK13,0.0
