Year,Series,Units,Value
2010,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.48
2011,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.34
2012,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.6
2013,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.53
2014,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.64
2015,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.35
2016,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.2
2017,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.27
2018,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.35
2019,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.52
2020,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.69
2021,Social Protection Budget Allocation as a % of GDP,Percentage (%),0.73
