Year,Series,Gender,Positions,GeoCode,Value
2020,,Male,,NG,451
2020,,Male,Senators,NG,102
2020,,Male,House of Reps,NG,349
2020,,Female,,NG,18
2020,,Female,Senators,NG,7
2020,,Female,House of Reps,NG,11
2021,,Male,,NG,451
2021,,Male,Senators,NG,102
2021,,Male,House of Reps,NG,349
2021,,Female,,NG,18
2021,,Female,Senators,NG,7
2021,,Female,House of Reps,NG,11
2022,,Male,,NG,451
2022,,Male,Senators,NG,102
2022,,Male,House of Reps,NG,349
2022,,Female,,NG,18
2022,,Female,Senators,NG,7
2022,,Female,House of Reps,NG,11
