Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,,NG,46.9
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",Urban,,,,,,NG,69.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",Rural,,,,,,NG,37.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,Male,,,,,NG,47.3
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,Female,,,,,NG,46.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,0-11,NG,38.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,12-23,NG,48.8
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,24-35,NG,49.2
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,36-47,NG,47.8
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,48-59,NG,49.7
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Poorest,,,,NG,18.3
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Second,,,,NG,31.6
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Middle,,,,NG,44.7
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Fourth,,,,NG,67.3
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Richest,,,,NG,83.2
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,North  Central,,,NGNCZ06,45.1
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,North East,,,NGNEZ05,36.9
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,North West,,,NGNWZ04,37.1
