Year,Series,Measure,Sex,Sector,Age group,Geopolitical Zone,State,GeoCode,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,,,,NG,,,,,,,,,7.0
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,Male,,,,,NG,,,,,,,,,7.8
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,Female,,,,,NG,,,,,,,,,6.1
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,,North  Central,,NGNCZ06,,,,,,,,,4.9
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,,North East,,NGNEZ05,,,,,,,,,8.7
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,,North West,,NGNWZ04,,,,,,,,,8.3
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,,South East,,NGSEZ03,,,,,,,,,5.6
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,,South South,,NGSSZ02,,,,,,,,,6.7
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,,South West,,NGSWZ01,,,,,,,,,6.8
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,6-11 Months,,,NG,,,,,,,,,14.8
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,12-23 Months,,,NG,,,,,,,,,10.3
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,24-35 Months,,,NG,,,,,,,,,4.8
2018,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Stunting,,,36-47 Months,,,NG,,,,,,,,,3.5
