Year,Series,Haemoglobin level,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Maternity status,Age group,State,GeoCode,Value
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,,NG,61.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,Urban,,,,,,,NG,53.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,Rural,,,,,,,NG,61.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,Lowest,,,,,,NG,65.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,Second,,,,,,NG,61.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,Middle,,,,,,NG,59.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,Fourth,,,,,,NG,55.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,Highest,,,,,,NG,50.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,North  Central,,,,,NGNCZ06,55.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,North East,,,,,NGNEZ05,58.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,North West,,,,,NGNWZ04,58.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,South East,,,,,NGSEZ03,66.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,South South,,,,,NGSSZ02,60.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,South West,,,,,NGSWZ01,51.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,None,,,,NG,63.9
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,Primary,,,,NG,58.6
