Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Age group,Units,GeoCode,Value
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,,Percentage (%),NG,10.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Urban,,,,,,,,Percentage (%),NG,17.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Rural,,,,,,,,Percentage (%),NG,7.7
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Poorest,,,,,,Percentage (%),NG,2.6
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Second,,,,,,Percentage (%),NG,6.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Middle,,,,,,Percentage (%),NG,9.5
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Fourth,,,,,,Percentage (%),NG,15.3
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,Richest,,,,,,Percentage (%),NG,21.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,North  Central,,,,,Percentage (%),NGNCZ06,13.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,North East,,,,,Percentage (%),NGNEZ05,6.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,North West,,,,,Percentage (%),NGNWZ04,7.4
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,South East,,,,,Percentage (%),NGSEZ03,14.7
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,South South,,,,,Percentage (%),NGSSZ02,11.2
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,South West,,,,,Percentage (%),NGSWZ01,21.7
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,None,,,,Percentage (%),NG,4.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Primary,,,,Percentage (%),NG,2.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Junior secondary,,,,Percentage (%),NG,13.4
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Senior secondary,,,,Percentage (%),NG,18.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Higher/tertiary,,,,Percentage (%),NG,23.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Hausa,,,Percentage (%),NG,6.4
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Igbo,,,Percentage (%),NG,15.2
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Yoruba,,,Percentage (%),NG,23.2
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Other ethnicity,,,Percentage (%),NG,12.6
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Abia,,Percentage (%),NGAB01,9.5
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Adamawa,,Percentage (%),NGAD02,7.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Akwa Ibom,,Percentage (%),NGAK03,10.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Anambra,,Percentage (%),NGAN04,16.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Bauchi,,Percentage (%),NGBA05,8.4
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Bayelsa,,Percentage (%),NGBY06,10.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Benue,,Percentage (%),NGBE07,13.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Borno,,Percentage (%),NGBO08,5.3
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Cross River,,Percentage (%),NGXR09,16.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Delta,,Percentage (%),NGDE10,8.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ebonyi,,Percentage (%),NGEB11,2.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Edo,,Percentage (%),NGED12,10.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ekiti,,Percentage (%),NGEK13,24.4
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Enugu,,Percentage (%),NGEN14,18.0
