Year,Series,Sector,State,Units,GeoCode,Value
2017,Proportion of population with access to electricity,,,Percentage (%),NG,54.4
2017,Proportion of population with access to electricity,Urban,,Percentage (%),NG,86.8
2017,Proportion of population with access to electricity,Rural,,Percentage (%),NG,35.7
2017,Proportion of population with access to electricity,,Abia,Percentage (%),NGAB01,80.4
2017,Proportion of population with access to electricity,,Adamawa,Percentage (%),NGAD02,32.7
2017,Proportion of population with access to electricity,,Akwa Ibom,Percentage (%),NGAK03,75.0
2017,Proportion of population with access to electricity,,Anambra,Percentage (%),NGAN04,71.5
2017,Proportion of population with access to electricity,,Bauchi,Percentage (%),NGBA05,29.0
2017,Proportion of population with access to electricity,,Bayelsa,Percentage (%),NGBY06,46.6
2017,Proportion of population with access to electricity,,Benue,Percentage (%),NGBE07,34.5
2017,Proportion of population with access to electricity,,Borno,Percentage (%),NGBO08,63.4
2017,Proportion of population with access to electricity,,Cross River,Percentage (%),NGXR09,38.1
2017,Proportion of population with access to electricity,,Delta,Percentage (%),NGDE10,71.6
2017,Proportion of population with access to electricity,,Ebonyi,Percentage (%),NGEB11,31.1
2017,Proportion of population with access to electricity,,Edo,Percentage (%),NGED12,85.5
2017,Proportion of population with access to electricity,,Ekiti,Percentage (%),NGEK13,70.1
2017,Proportion of population with access to electricity,,Enugu,Percentage (%),NGEN14,70.1
2017,Proportion of population with access to electricity,,Gombe,Percentage (%),NGGO15,41.2
2017,Proportion of population with access to electricity,,Imo,Percentage (%),NGIM16,73.8
2017,Proportion of population with access to electricity,,Jigawa,Percentage (%),NGJI17,25.7
2017,Proportion of population with access to electricity,,Kaduna,Percentage (%),NGKD18,64.7
2017,Proportion of population with access to electricity,,Kano,Percentage (%),NGKN19,46.8
2017,Proportion of population with access to electricity,,Katsina,Percentage (%),NGKT20,30.0
2017,Proportion of population with access to electricity,,Kebbi,Percentage (%),NGKE21,41.4
2017,Proportion of population with access to electricity,,Kogi,Percentage (%),NGKO22,50.2
2017,Proportion of population with access to electricity,,Kwara,Percentage (%),NGKW23,71.8
2017,Proportion of population with access to electricity,,Lagos,Percentage (%),NGLA24,99.1
2017,Proportion of population with access to electricity,,Nasarawa,Percentage (%),NGNA25,31.5
2017,Proportion of population with access to electricity,,Niger,Percentage (%),NGNI26,55.0
2017,Proportion of population with access to electricity,,Ogun,Percentage (%),NGOG27,75.8
2017,Proportion of population with access to electricity,,Ondo,Percentage (%),NGON28,58.3
2017,Proportion of population with access to electricity,,Osun,Percentage (%),NGOS29,74.0
2017,Proportion of population with access to electricity,,Oyo,Percentage (%),NGOY30,68.9
2017,Proportion of population with access to electricity,,Plateau,Percentage (%),NGPL31,39.8
