Year,Series,Value
2016,Tourism direct GDP as a percentage of total GDP,5.62
2017,Tourism direct GDP as a percentage of total GDP,5.39
2018,Tourism direct GDP as a percentage of total GDP,5.38
2019,Tourism direct GDP as a percentage of total GDP,5.53
2020,Tourism direct GDP as a percentage of total GDP,4.8
2021,Tourism direct GDP as a percentage of total GDP,4.89
2022,Tourism direct GDP as a percentage of total GDP,5.09
2023,Tourism direct GDP as a percentage of total GDP,4.16
2016,Tourism direct GDP as a percentage of growth rate,2.6
2017,Tourism direct GDP as a percentage of growth rate,-4.19
2018,Tourism direct GDP as a percentage of growth rate,-0.14
2019,Tourism direct GDP as a percentage of growth rate,2.73
2020,Tourism direct GDP as a percentage of growth rate,-13.17
2021,Tourism direct GDP as a percentage of growth rate,1.87
2022,Tourism direct GDP as a percentage of growth rate,4.21
2023,Tourism direct GDP as a percentage of growth rate,-18.33
