Year,Value,Units,Series,Unit multiplier
2016,16.09,USD,Aid commitments,Billions
2017,20.62,USD,Aid commitments,Billions
2018,21.95,USD,Aid commitments,Billions
2019,17.9,USD,Aid commitments,Billions
2020,20.48,USD,Aid commitments,Billions
2021,18.73,USD,Aid commitments,Billions
2022,20.7,USD,Aid commitments,Billions
2016,4.99,USD,Aid for trade,Billions
2017,7.11,USD,Aid for trade,Billions
2018,7.39,USD,Aid for trade,Billions
2019,2.91,USD,Aid for trade,Billions
2020,5.84,USD,Aid for trade,Billions
2021,5.2,USD,Aid for trade,Billions
2022,5.57,USD,Aid for trade,Billions
2016,11.1,USD,Aid disbursement,Billions
2017,13.51,USD,Aid disbursement,Billions
2018,14.56,USD,Aid disbursement,Billions
2019,14.99,USD,Aid disbursement,Billions
2020,14.64,USD,Aid disbursement,Billions
2021,13.53,USD,Aid disbursement,Billions
2022,15.13,USD,Aid disbursement,Billions
