Year,Value,Units,Series,Unit multiplier
2016,10.75,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2017,10.75,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2018,44.82,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2019,123.93,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2020,62.51,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2021,83.74,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2022,66.45,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2023,68.39,Naira,Commercial Banks Loans to Small scale Enterprises,Billions
2016,0.07,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
2017,0.07,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
2018,0.29,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
2019,0.71,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
2020,0.32,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
2021,0.38,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
2022,0.36,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
2023,1.18,Percentage (%),Commercial Banks Loans to Small scale Enterprises as percentage of total credit,
