Year,Series,Financial soundness indicator,Units,Value
2016,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),12.8
2017,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),14.81
2018,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),11.6
2019,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),6.03
2020,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),6.02
2021,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),4.93
2022,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),4.21
2023,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),4.34
2024,Financial Soundness Indicators,Non Performing Loans to total gross loans,Percentage (%),4.87
2016,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),14.8
2017,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),10.48
2018,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),15.21
2019,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),14.57
2020,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),15.05
2021,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),14.55
2022,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),13.76
2023,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),12.99
2024,Financial Soundness Indicators,Capital Adequacy Ratio,Percentage (%),15.25
2016,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),16.2
2017,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),18.81
2018,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),22.64
2019,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),22.99
2020,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),22.58
2021,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),20.54
2022,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),19.82
2023,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),17.89
2024,Financial Soundness Indicators,Liquid assets to total assets,Percentage (%),18.26
2016,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),24.5
2017,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),27.18
2018,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),34.15
2019,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),35.32
2020,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),32.58
2021,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),29.95
2022,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),44.03
2023,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),40.71
2024,Financial Soundness Indicators,Liquid assets to short term liabilities,Percentage (%),47.08
