Year,Series,Severity,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,,Percentage (%),NG,46.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,Urban,,,,,,Percentage (%),NG,45.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,Rural,,,,,,Percentage (%),NG,47.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,Poorest,,,,,Percentage (%),NG,48.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,Second,,,,,Percentage (%),NG,47.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,Middle,,,,,Percentage (%),NG,48.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,Fourth,,,,,Percentage (%),NG,48.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,Richest,,,,,Percentage (%),NG,39.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,North  Central,,,,Percentage (%),NGNCZ06,47.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,North East,,,,Percentage (%),NGNEZ05,42.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,North West,,,,Percentage (%),NGNWZ04,47.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,South East,,,,Percentage (%),NGSEZ03,50.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,South South,,,,Percentage (%),NGSSZ02,49.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,South West,,,,Percentage (%),NGSWZ01,41.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,None,,,Percentage (%),NG,46.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,Primary,,,Percentage (%),NG,49.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,Junior Secondary,,,Percentage (%),NG,48.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,Senior Secondary,,,Percentage (%),NG,46.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,Higher/Tertiary,,,Percentage (%),NG,41.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Hausa,,Percentage (%),NG,47.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Igbo,,Percentage (%),NG,48.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Yoruba,,Percentage (%),NG,43.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Fulani,,Percentage (%),NG,45.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Kanuri,,Percentage (%),NG,46.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Ijaw,,Percentage (%),NG,52.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Tiv,,Percentage (%),NG,38.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Ibibio,,Percentage (%),NG,52.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Edo,,Percentage (%),NG,39.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,Other ethnicity,,Percentage (%),NG,47.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Abia,Percentage (%),NGAB01,53.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Adamawa,Percentage (%),NGAD02,34.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Akwa Ibom,Percentage (%),NGAK03,55.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Anambra,Percentage (%),NGAN04,53.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Bauchi,Percentage (%),NGBA05,51.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Bayelsa,Percentage (%),NGBY06,55.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Benue,Percentage (%),NGBE07,41.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Borno,Percentage (%),NGBO08,39.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Cross River,Percentage (%),NGXR09,54.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Delta,Percentage (%),NGDE10,44.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Ebonyi,Percentage (%),NGEB11,44.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Edo,Percentage (%),NGED12,43.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Ekiti,Percentage (%),NGEK13,44.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Enugu,Percentage (%),NGEN14,48.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Gombe,Percentage (%),NGGO15,38.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Imo,Percentage (%),NGIM16,50.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Jigawa,Percentage (%),NGJI17,48.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Kaduna,Percentage (%),NGKD18,45.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Kano,Percentage (%),NGKN19,48.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Katsina,Percentage (%),NGKT20,51.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Kebbi,Percentage (%),NGKE21,48.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Kogi,Percentage (%),NGKO22,47.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Kwara,Percentage (%),NGKW23,46.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Lagos,Percentage (%),NGLA24,41.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Nasarawa,Percentage (%),NGNA25,43.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Niger,Percentage (%),NGNI26,54.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Ogun,Percentage (%),NGOG27,45.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Ondo,Percentage (%),NGON28,39.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Osun,Percentage (%),NGOS29,41.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Oyo,Percentage (%),NGOY30,38.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Plateau,Percentage (%),NGPL31,50.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Rivers,Percentage (%),NGRI32,49.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Sokoto,Percentage (%),NGSO33,44.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Taraba,Percentage (%),NGTA34,38.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Yobe,Percentage (%),NGYO35,47.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Zamfara,Percentage (%),NGZA36,44.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate,,,,,,Federal Capital Territory,Percentage (%),NGFC37,46.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,,Percentage (%),NG,26.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,Urban,,,,,,Percentage (%),NG,26.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,Rural,,,,,,Percentage (%),NG,27.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,Poorest,,,,,Percentage (%),NG,30.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,Second,,,,,Percentage (%),NG,28.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,Middle,,,,,Percentage (%),NG,30.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,Fourth,,,,,Percentage (%),NG,27.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,Richest,,,,,Percentage (%),NG,19.0
