Year,Series,Gender,Sector,Wealth Index Quintile,Ethnicity,Geopolitical zone,State,Grade,GeoCode,Value
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,,,NG,25.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,Urban,,,,,,NG,44.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,Rural,,,,,,NG,13.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Hausa,,,,NG,12.0
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Igbo,,,,NG,52.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Yoruba,,,,NG,46.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Fulani,,,,NG,5.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Kanuri,,,,NG,7.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Ijaw,,,,NG,30.9
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Tiv,,,,NG,18.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Ibibio,,,,NG,34.0
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Edo,,,,NG,63.9
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,Other ethnicity,,,,NG,21.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,Poorest,,,,,NG,5.1
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,Second,,,,,NG,11.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,Middle,,,,,NG,21.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,Fourth,,,,,NG,35.1
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,Richest,,,,,NG,63.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,North Central,,,NGNCZ06,22.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,North East,,,NGNEZ05,12.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,North West,,,NGNWZ04,10.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,South East,,,NGSEZ03,49.7
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,South South,,,NGSSZ02,33.9
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,South West,,,NGSWZ01,47.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Abia,,NGAB01,35.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Adamawa,,NGAD02,22.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Akwa Ibom,,NGAK03,30.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Anambra,,NGAN04,36.7
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Bauchi,,NGBA05,11.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Bayelsa,,NGBY06,42.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Benue,,NGBE07,24.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Borno,,NGBO08,6.9
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Cross River,,NGXR09,12.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Delta,,NGDE10,31.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Ebonyi,,NGEB11,75.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Edo,,NGED12,46.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Ekiti,,NGEK13,27.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Enugu,,NGEN14,60.1
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Gombe,,NGGO15,11.9
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Imo,,NGIM16,52.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Jigawa,,NGJI17,1.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Kaduna,,NGKD18,16.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Kano,,NGKN19,9.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Katsina,,NGKT20,11.1
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Kebbi,,NGKE21,3.9
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Kogi,,NGKO22,26.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Kwara,,NGKW23,45.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Lagos,,NGLA24,82.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Nasarawa,,NGNA25,9.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Niger,,NGNI26,11.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Ogun,,NGOG27,33.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Ondo,,NGON28,30.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Osun,,NGOS29,44.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Oyo,,NGOY30,28.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Plateau,,NGPL31,14.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Rivers,,NGRI32,45.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Sokoto,,NGSO33,13.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Taraba,,NGTA34,10.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Yobe,,NGYO35,14.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Zamfara,,NGZA36,14.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Male,,,,,Federal Capital Territory,,NGFC37,44.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,,,,,NG,28.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,Urban,,,,,,NG,48.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,Rural,,,,,,NG,13.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Hausa,,,,NG,10.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Igbo,,,,NG,63.2
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Yoruba,,,,NG,54.8
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Fulani,,,,NG,5.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Kanuri,,,,NG,11.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Ijaw,,,,NG,34.4
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Tiv,,,,NG,19.0
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Ibibio,,,,NG,44.7
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Edo,,,,NG,50.1
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,Other ethnicity,,,,NG,22.0
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,Poorest,,,,,NG,3.3
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,Second,,,,,NG,10.6
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,Middle,,,,,NG,22.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,Fourth,,,,,NG,43.1
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,Richest,,,,,NG,69.0
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,,North Central,,,NGNCZ06,21.5
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,,North East,,,NGNEZ05,11.1
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,,North West,,,NGNWZ04,8.7
2021,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy, by sex",Female,,,,South East,,,NGSEZ03,60.8
