Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Religion,Marital status,Units,GeoCode,Value
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,,,,Percentage (%),NG,4.1
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",Urban,,,,,,,,Percentage (%),NG,3.5
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",Rural,,,,,,,,Percentage (%),NG,4.7
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,15-19,,,,,,,Percentage (%),NG,3.0
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,20-24,,,,,,,Percentage (%),NG,6.3
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,25-29,,,,,,,Percentage (%),NG,4.2
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,30-39,,,,,,,Percentage (%),NG,4.3
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,40-49,,,,,,,Percentage (%),NG,2.9
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,,Catholic,,Percentage (%),NG,4.4
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,,Other Christian,,Percentage (%),NG,4.4
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,,Islam,,Percentage (%),NG,3.8
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,,Traditionalist,,Percentage (%),NG,1.6
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,,Other,,Percentage (%),NG,2.5
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,North Central,,,,,Percentage (%),NGNCZ06,3.6
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,North East,,,,,Percentage (%),NGNEZ05,8.6
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,North West,,,,,Percentage (%),NGNWZ04,3.2
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,South East,,,,,Percentage (%),NGSEZ03,4.8
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,South South,,,,,Percentage (%),NGSSZ02,4.7
