Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,,NG,47.2
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,Urban,,,,,,NG,68.4
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,Rural,,,,,,NG,29.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,15-24,NG,25.2
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,15-19,NG,13.2
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,15-17,NG,8.0
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,18-19,NG,22.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,20-24,NG,43.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,25-29,NG,57.0
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,30-39,NG,63.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,,40-49,NG,65.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,None,,,,,NG,10.7
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Primary,,,,,NG,30.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Junior secondary,,,,,NG,23.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Senior secondary,,,,,NG,48.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Higher/tertiary,,,,,NG,94.2
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Hausa,,,,,NG,28.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Igbo,,,,,NG,72.5
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Yoruba,,,,,NG,65.9
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Fulani,,,,,NG,22.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Kanuri,,,,,NG,40.1
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Ijaw,,,,,NG,48.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Tiv,,,,,NG,32.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Ibibio,,,,,NG,55.1
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Edo,,,,,NG,74.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,Other ethnicity,,,,,NG,45.1
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,Poorest,,,,NG,10.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,Second,,,,NG,24.5
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,Middle,,,,NG,44.1
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,Fourth,,,,NG,63.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,Richest,,,,NG,81.0
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,North  Central,,,NGNCZ06,42.4
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,North East,,,NGNEZ05,33.0
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,North West,,,NGNWZ04,28.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,South East,,,NGSEZ03,69.0
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,South South,,,NGSSZ02,58.5
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,South West,,,NGSWZ01,64.6
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Abia,,NGAB01,66.7
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Adamawa,,NGAD02,46.9
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Akwa Ibom,,NGAK03,44.5
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Anambra,,NGAN04,80.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Bauchi,,NGBA05,18.9
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Bayelsa,,NGBY06,58.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Benue,,NGBE07,29.7
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Borno,,NGBO08,46.4
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Cross River,,NGXR09,37.2
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Delta,,NGDE10,60.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Ebonyi,,NGEB11,62.1
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Edo,,NGED12,70.3
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Ekiti,,NGEK13,54.8
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Enugu,,NGEN14,69.6
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Gombe,,NGGO15,31.7
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Imo,,NGIM16,63.6
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Jigawa,,NGJI17,18.7
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Kaduna,,NGKD18,40.7
2021,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Male,,,,,Kano,,NGKN19,37.8
