Year,Place of Residence,State,Value
2019,Urban,,18.04
2019,Rural,,52.1
2019,,,40.1
2019,,Abia,30.67
2019,,Adamawa,75.41
2019,,Akwa Ibom,26.82
2019,,Anambra,14.78
2019,,Bauchi,61.53
2019,,Bayelsa,22.61
2019,,Benue,32.9
2019,,Borno,
2019,,Cross River,36.29
2019,,Delta,6.02
2019,,Ebonyi,79.76
2019,,Edo,11.99
2019,,Ekiti,28.04
2019,,Enugu,58.13
2019,,Gombe,62.31
2019,,Imo,28.86
2019,,Jigawa,87.02
2019,,Kaduna,43.48
2019,,Kano,55.08
2019,,Katsina,56.42
2019,,Kebbi,50.17
2019,,Kogi,28.51
2019,,Kwara,20.35
2019,,Lagos,4.5
2019,,Nasarawa,57.3
2019,,Niger,66.11
2019,,Ogun,9.32
2019,,Ondo,12.52
2019,,Osun,8.52
2019,,Oyo,9.83
2019,,Plateau,55.05
2019,,Rivers,23.91
2019,,Sokoto,87.73
2019,,Taraba,87.72
2019,,Yobe,72.34
2019,,Zamfara,73.98
2019,,FCT,38.66
