Year,Access to Basic Services,Place of Residence,Wealth Index Quintile,Geopolitical zones,Education Status,State,Value
2017,Water,,,,,,64.1
2017,Sanitation,,,,,,35.9
2017,Electricity,,,,,,54.4
2017,Radio,,,,,,59.8
2017,Television,,,,,,47.0
2017,Internet,,,,,,
2017,Telephone,,,,,,74.4
2021,Water,,,,,,71.5
2021,Sanitation,,,,,,57.5
2021,Electricity,,,,,,59.1
2021,Radio,,,,,,47.8
2021,Television,,,,,,43.2
2021,Internet,,,,,,34.6
2021,Telephone,,,,,,87.6
2017,Water,Urban,,,,,82.9
2017,Sanitation,Urban,,,,,49.2
2017,Electricity,Urban,,,,,86.8
2017,Radio,Urban,,,,,66.9
2017,Television,Urban,,,,,74.2
2017,Internet,Urban,,,,,
2017,Telephone,Urban,,,,,89.8
2021,Water,Urban,,,,,90.7
2021,Sanitation,Urban,,,,,52.7
2021,Electricity,Urban,,,,,88.6
2021,Radio,Urban,,,,,56.7
2021,Television,Urban,,,,,69.5
2021,Internet,Urban,,,,,51.2
2021,Telephone,Urban,,,,,95.5
2017,Water,Rural,,,,,54.6
2017,Sanitation,Rural,,,,,29.2
2017,Electricity,Rural,,,,,35.7
2017,Radio,Rural,,,,,55.7
2017,Television,Rural,,,,,31.2
2017,Internet,Rural,,,,,
2017,Telephone,Rural,,,,,65.5
2021,Water,Rural,,,,,57.2
2021,Sanitation,Rural,,,,,27.6
2021,Electricity,Rural,,,,,33.1
2021,Radio,Rural,,,,,40.0
2021,Television,Rural,,,,,20.0
2021,Internet,Rural,,,,,20.1
2021,Telephone,Rural,,,,,80.7
2017,Water,,Poorest,,,,37.7
2017,Sanitation,,Poorest,,,,15.5
2017,Electricity,,Poorest,,,,
2017,Radio,,Poorest,,,,
2017,Television,,Poorest,,,,
2017,Internet,,Poorest,,,,
2017,Telephone,,Poorest,,,,
2021,Water,,Poorest,,,,35.9
2021,Sanitation,,Poorest,,,,9.5
2021,Electricity,,Poorest,,,,
2021,Radio,,Poorest,,,,23.3
2021,Television,,Poorest,,,,0.1
2021,Internet,,Poorest,,,,6.1
2021,Telephone,,Poorest,,,,61.3
2017,Water,,Second,,,,52.5
2017,Sanitation,,Second,,,,24.8
2017,Electricity,,Second,,,,
2017,Radio,,Second,,,,
2017,Television,,Second,,,,
2017,Internet,,Second,,,,
2017,Telephone,,Second,,,,
2021,Water,,Second,,,,58.1
2021,Sanitation,,Second,,,,23.9
2021,Electricity,,Second,,,,
2021,Radio,,Second,,,,35.4
2021,Television,,Second,,,,1.2
2021,Internet,,Second,,,,12.8
2021,Telephone,,Second,,,,83.2
2017,Water,,Middle,,,,60.2
2017,Sanitation,,Middle,,,,32.4
2017,Electricity,,Middle,,,,
2017,Radio,,Middle,,,,
2017,Television,,Middle,,,,
2017,Internet,,Middle,,,,
2017,Telephone,,Middle,,,,
2021,Water,,Middle,,,,77.1
2021,Sanitation,,Middle,,,,36.8
2021,Electricity,,Middle,,,,
2021,Radio,,Middle,,,,43.1
2021,Television,,Middle,,,,23.1
2021,Internet,,Middle,,,,22.5
2021,Telephone,,Middle,,,,91.4
2017,Water,,Fourth,,,,78.9
2017,Sanitation,,Fourth,,,,43.4
2017,Electricity,,Fourth,,,,
2017,Radio,,Fourth,,,,
2017,Television,,Fourth,,,,
2017,Internet,,Fourth,,,,
2017,Telephone,,Fourth,,,,
2021,Water,,Fourth,,,,89.9
2021,Sanitation,,Fourth,,,,44.7
2021,Electricity,,Fourth,,,,
2021,Radio,,Fourth,,,,56.3
2021,Television,,Fourth,,,,74.2
2021,Internet,,Fourth,,,,44.2
2021,Telephone,,Fourth,,,,97.4
2017,Water,,Richest,,,,91.3
2017,Sanitation,,Richest,,,,63.5
2017,Electricity,,Richest,,,,
2017,Radio,,Richest,,,,
