Year,Series,Cities,Units,Value
2020,Proportion of population that has convenient access to public transport,Aba,Percentage (%),2.71
2020,Proportion of population that has convenient access to public transport,Abeokuta,Percentage (%),10.62
2020,Proportion of population that has convenient access to public transport,Abuja,Percentage (%),10.77
2020,Proportion of population that has convenient access to public transport,Ado-Ekiti,Percentage (%),4.62
2020,Proportion of population that has convenient access to public transport,Akure,Percentage (%),12.86
2020,Proportion of population that has convenient access to public transport,Benin City,Percentage (%),7.1
2020,Proportion of population that has convenient access to public transport,Gombe,Percentage (%),7.46
2020,Proportion of population that has convenient access to public transport,Ibadan,Percentage (%),11.81
2020,Proportion of population that has convenient access to public transport,Ijebu-Ode,Percentage (%),3.58
2020,Proportion of population that has convenient access to public transport,Kaduna,Percentage (%),10.75
2020,Proportion of population that has convenient access to public transport,Kano,Percentage (%),30.11
2020,Proportion of population that has convenient access to public transport,Lagos,Percentage (%),38.11
2020,Proportion of population that has convenient access to public transport,Oyo,Percentage (%),20.7
2020,Proportion of population that has convenient access to public transport,Porthacourt,Percentage (%),21.23
