Year,Series,Gender,Sector,Ethnicity,Education level,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,,NG,81.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,Urban,,,,,,,NG,84.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,Rural,,,,,,,NG,78.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,15-19,NG,79.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,15-17,NG,79.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,18-19,NG,80.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,20-24,NG,81.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,25-29,NG,81.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,30-34,NG,82.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,35-39,NG,83.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,40-44,NG,81.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,,45-49,NG,80.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,None,,,,,NG,77.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,Primary,,,,,NG,80.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,Junior secondary,,,,,NG,79.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,Senior secondary,,,,,NG,82.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,Higher/tertiary,,,,,NG,83.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Hausa,,,,,,NG,76.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Igbo,,,,,,NG,76.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Yoruba,,,,,,NG,92.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Fulani,,,,,,NG,84.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Kanuri,,,,,,NG,92.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Ijaw,,,,,,NG,80.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Tiv,,,,,,NG,83.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Ibibio,,,,,,NG,50.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Edo,,,,,,NG,87.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,Other ethnicity,,,,,,NG,81.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,Poorest,,,,NG,79.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,Second,,,,NG,77.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,Middle,,,,NG,81.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,Fourth,,,,NG,80.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,Richest,,,,NG,86.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,North  Central,,,NGNCZ06,79.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,North East,,,NGNEZ05,89.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,North West,,,NGNWZ04,75.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,South East,,,NGSEZ03,71.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,South South,,,NGSSZ02,74.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,South West,,,NGSWZ01,96.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Abia,,NGAB01,77.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Adamawa,,NGAD02,96.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Akwa Ibom,,NGAK03,43.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Anambra,,NGAN04,58.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Bauchi,,NGBA05,88.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Bayelsa,,NGBY06,66.4
