Year,Series,Help source,Value
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Own family,73.1
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Husband/partner's family,25.8
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Husband/partner,1.6
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Boyfriend,11.3
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Friend,11.0
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Neighbour,7.8
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Religious leader,3.6
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Doctor/medical personnel,0.8
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Police,1.0
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Lawyer,0.5
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Social work organisation,0.1
2018,Experience physical or sexual violence and sought help by sources from which they sought help,Other,0.9
2018,Experience physical violence and sought help by sources from which they sought help,Own family,74.0
2018,Experience physical violence and sought help by sources from which they sought help,Husband/partner's family,27.6
2018,Experience physical violence and sought help by sources from which they sought help,Husband/partner,1.3
2018,Experience physical violence and sought help by sources from which they sought help,Boyfriend,11.5
2018,Experience physical violence and sought help by sources from which they sought help,Friend,11.2
2018,Experience physical violence and sought help by sources from which they sought help,Neighbour,9.7
2018,Experience physical violence and sought help by sources from which they sought help,Religious leader,2.1
2018,Experience physical violence and sought help by sources from which they sought help,Doctor/medical personnel,0.4
2018,Experience physical violence and sought help by sources from which they sought help,Police,0.5
2018,Experience physical violence and sought help by sources from which they sought help,Lawyer,0.0
2018,Experience physical violence and sought help by sources from which they sought help,Social work organisation,0.1
2018,Experience physical violence and sought help by sources from which they sought help,Other,1.1
2018,Experience sexual violence and sought help by sources from which they sought help,Own family,82.5
2018,Experience sexual violence and sought help by sources from which they sought help,Husband/partner's family,5.7
2018,Experience sexual violence and sought help by sources from which they sought help,Husband/partner,1.3
2018,Experience sexual violence and sought help by sources from which they sought help,Boyfriend,5.6
2018,Experience sexual violence and sought help by sources from which they sought help,Friend,5.6
2018,Experience sexual violence and sought help by sources from which they sought help,Neighbour,7.7
2018,Experience sexual violence and sought help by sources from which they sought help,Religious leader,1.4
2018,Experience sexual violence and sought help by sources from which they sought help,Doctor/medical personnel,0.0
2018,Experience sexual violence and sought help by sources from which they sought help,Police,7.4
2018,Experience sexual violence and sought help by sources from which they sought help,Lawyer,0.0
2018,Experience sexual violence and sought help by sources from which they sought help,Social work organisation,0.0
2018,Experience sexual violence and sought help by sources from which they sought help,Other,0.0
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Own family,68.3
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Husband/partner's family,25.6
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Husband/partner,2.4
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Boyfriend,12.0
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Friend,12.0
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Neighbour,2.8
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Religious leader,8.3
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Doctor/medical personnel,1.9
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Police,0.9
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Lawyer,1.9
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Social work organisation,0.0
2018,Experience physical and sexual violence and sought help by sources from which they sought help,Other,0.4
