Year,Series,Measure,Sector,Geographical zone,Units,GeoCode,Value
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,,,,,3090000000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,Urban,,,,29000000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,Rural,,,,3060000000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,,North  Central,,NGNCZ06,102000000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,,North East,,NGNEZ05,36300000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,,North West,,NGNWZ04,2840000000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,,South East,,NGSEZ03,21100000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,,South South,,NGSSZ02,52700000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Production,,South West,,NGSWZ01,33400000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,,,,,828000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,Urban,,,,80200000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,Rural,,,,747000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,,North  Central,,NGNCZ06,226000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,,North East,,NGNEZ05,147000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,,North West,,NGNWZ04,235000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,,South East,,NGSEZ03,81200000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,,South South,,NGSSZ02,112000000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Total Labour,,South West,,NGSWZ01,25900000.0
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,,,Kilogram (KG),,3731.88
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,Urban,,Kilogram (KG),,361.6
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,Rural,,Kilogram (KG),,4096.39
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,,North  Central,Kilogram (KG),NGNCZ06,451.33
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,,North East,Kilogram (KG),NGNEZ05,246.94
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,,North West,Kilogram (KG),NGNWZ04,12085.11
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,,South East,Kilogram (KG),NGSEZ03,259.85
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,,South South,Kilogram (KG),NGSSZ02,470.54
2019,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Labour Productivity,,South West,Kilogram (KG),NGSWZ01,1289.58
