Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2017,Neonatal mortality rate,,,,,,,,Percentage (%),NG,39
2017,Neonatal mortality rate,Urban,,,,,,,Percentage (%),NG,35
2017,Neonatal mortality rate,Rural,,,,,,,Percentage (%),NG,40
2017,Neonatal mortality rate,,Male,,,,,,Percentage (%),NG,44
2017,Neonatal mortality rate,,Female,,,,,,Percentage (%),NG,33
2017,Neonatal mortality rate,,,Poorest,,,,,Percentage (%),NG,39
2017,Neonatal mortality rate,,,Second,,,,,Percentage (%),NG,42
2017,Neonatal mortality rate,,,Middle,,,,,Percentage (%),NG,44
2017,Neonatal mortality rate,,,Fourth,,,,,Percentage (%),NG,36
2017,Neonatal mortality rate,,,Richest,,,,,Percentage (%),NG,30
2017,Neonatal mortality rate,,,,North  Central,,,,Percentage (%),NGNCZ06,43
2017,Neonatal mortality rate,,,,North East,,,,Percentage (%),NGNEZ05,33
2017,Neonatal mortality rate,,,,North West,,,,Percentage (%),NGNWZ04,45
2017,Neonatal mortality rate,,,,South East,,,,Percentage (%),NGSEZ03,26
2017,Neonatal mortality rate,,,,South South,,,,Percentage (%),NGSSZ02,22
2017,Neonatal mortality rate,,,,South West,,,,Percentage (%),NGSWZ01,36
2017,Neonatal mortality rate,,,,,None,,,Percentage (%),NG,43
2017,Neonatal mortality rate,,,,,Non Formal,,,Percentage (%),NG,41
2017,Neonatal mortality rate,,,,,Primary,,,Percentage (%),NG,39
2017,Neonatal mortality rate,,,,,Senior Secondary,,,Percentage (%),NG,33
2017,Neonatal mortality rate,,,,,Higher/Tertiary,,,Percentage (%),NG,34
2017,Neonatal mortality rate,,,,,,Hausa,,Percentage (%),NG,42
2017,Neonatal mortality rate,,,,,,Igbo,,Percentage (%),NG,28
2017,Neonatal mortality rate,,,,,,Yoruba,,Percentage (%),NG,37
2017,Neonatal mortality rate,,,,,,Other ethnicity,,Percentage (%),NG,36
2017,Neonatal mortality rate,,,,,,,Abia,Percentage (%),NGAB01,32
2017,Neonatal mortality rate,,,,,,,Adamawa,Percentage (%),NGAD02,21
2017,Neonatal mortality rate,,,,,,,Akwa Ibom,Percentage (%),NGAK03,21
2017,Neonatal mortality rate,,,,,,,Anambra,Percentage (%),NGAN04,23
2017,Neonatal mortality rate,,,,,,,Bauchi,Percentage (%),NGBA05,41
2017,Neonatal mortality rate,,,,,,,Bayelsa,Percentage (%),NGBY06,29
2017,Neonatal mortality rate,,,,,,,Benue,Percentage (%),NGBE07,41
2017,Neonatal mortality rate,,,,,,,Borno,Percentage (%),NGBO08,26
2017,Neonatal mortality rate,,,,,,,Cross River,Percentage (%),NGXR09,20
2017,Neonatal mortality rate,,,,,,,Delta,Percentage (%),NGDE10,28
2017,Neonatal mortality rate,,,,,,,Ebonyi,Percentage (%),NGEB11,30
2017,Neonatal mortality rate,,,,,,,Edo,Percentage (%),NGED12,7
2017,Neonatal mortality rate,,,,,,,Ekiti,Percentage (%),NGEK13,46
2017,Neonatal mortality rate,,,,,,,Enugu,Percentage (%),NGEN14,9
2017,Neonatal mortality rate,,,,,,,Gombe,Percentage (%),NGGO15,35
2017,Neonatal mortality rate,,,,,,,Imo,Percentage (%),NGIM16,35
2017,Neonatal mortality rate,,,,,,,Jigawa,Percentage (%),NGJI17,37
