Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,,NG,26.4
2021,Percentage of population age 3 and above who never attended formal education,Male,,,,,,,NG,22.7
2021,Percentage of population age 3 and above who never attended formal education,Female,,,,,,,NG,30.0
2021,Percentage of population age 3 and above who never attended formal education,,Urban,,,,,,NG,11.1
2021,Percentage of population age 3 and above who never attended formal education,,Rural,,,,,,NG,38.0
2021,Percentage of population age 3 and above who never attended formal education,,,Hausa,,,,,NG,47.2
2021,Percentage of population age 3 and above who never attended formal education,,,Igbo,,,,,NG,3.6
2021,Percentage of population age 3 and above who never attended formal education,,,Yoruba,,,,,NG,8.3
2021,Percentage of population age 3 and above who never attended formal education,,,Fulani,,,,,NG,65.7
2021,Percentage of population age 3 and above who never attended formal education,,,Kanuri,,,,,NG,61.3
2021,Percentage of population age 3 and above who never attended formal education,,,Ijaw,,,,,NG,8.2
2021,Percentage of population age 3 and above who never attended formal education,,,Tiv,,,,,NG,18.2
2021,Percentage of population age 3 and above who never attended formal education,,,Ibibio,,,,,NG,3.8
2021,Percentage of population age 3 and above who never attended formal education,,,Edo,,,,,NG,5.0
2021,Percentage of population age 3 and above who never attended formal education,,,Other ethnicity,,,,,NG,19.4
2021,Percentage of population age 3 and above who never attended formal education,,,,Poorest,,,,NG,61.3
2021,Percentage of population age 3 and above who never attended formal education,,,,Second,,,,NG,38.4
2021,Percentage of population age 3 and above who never attended formal education,,,,Middle,,,,NG,21.3
2021,Percentage of population age 3 and above who never attended formal education,,,,Fourth,,,,NG,9.3
2021,Percentage of population age 3 and above who never attended formal education,,,,Richest,,,,NG,3.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,North  Central,,,NGNCZ06,23.7
2021,Percentage of population age 3 and above who never attended formal education,,,,,North East,,,NGNEZ05,51.1
2021,Percentage of population age 3 and above who never attended formal education,,,,,North West,,,NGNWZ04,47.4
2021,Percentage of population age 3 and above who never attended formal education,,,,,South East,,,NGSEZ03,4.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,South South,,,NGSSZ02,5.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,South West,,,NGSWZ01,9.2
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Abia,,NGAB01,4.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Adamawa,,NGAD02,30.6
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Akwa Ibom,,NGAK03,4.8
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Anambra,,NGAN04,1.6
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Bauchi,,NGBA05,64.9
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Bayelsa,,NGBY06,5.9
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Benue,,NGBE07,16.5
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Borno,,NGBO08,51.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Cross River,,NGXR09,5.7
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Delta,,NGDE10,5.1
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Ebonyi,,NGEB11,6.6
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Edo,,NGED12,5.9
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Ekiti,,NGEK13,9.9
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Enugu,,NGEN14,7.2
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Gombe,,NGGO15,53.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Imo,,NGIM16,2.2
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Jigawa,,NGJI17,58.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Kaduna,,NGKD18,23.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Kano,,NGKN19,37.2
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Katsina,,NGKT20,46.4
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Kebbi,,NGKE21,66.4
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Kogi,,NGKO22,12.7
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Kwara,,NGKW23,25.9
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Lagos,,NGLA24,3.2
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Nasarawa,,NGNA25,28.5
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Niger,,NGNI26,44.5
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Ogun,,NGOG27,14.0
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Ondo,,NGON28,10.1
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Osun,,NGOS29,8.7
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Oyo,,NGOY30,14.7
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Plateau,,NGPL31,16.6
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Rivers,,NGRI32,4.8
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Sokoto,,NGSO33,62.7
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Taraba,,NGTA34,31.6
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Yobe,,NGYO35,64.6
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Zamfara,,NGZA36,65.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,Federal Capital Territory,,NGFC37,12.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,3-5,NG,44.6
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,6-11,NG,21.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,12-14,NG,17.2
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,15-17,NG,16.4
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,18-24,NG,18.3
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,25-30,NG,25.5
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,31-59,NG,26.5
2021,Percentage of population age 3 and above who never attended formal education,,,,,,,60+,NG,50.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,,NG,14.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,Male,,,,,,,NG,13.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,Female,,,,,,,NG,15.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,Urban,,,,,,NG,6.2
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,Rural,,,,,,NG,21.4
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Hausa,,,,,NG,34.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,Igbo,,,,,NG,0.3
