Year,Series,Gender,Sector,Age group,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,ICT skill,GeoCode,Value
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,,Copied or moved a file or folder,NG,9.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,Urban,,,,,,Copied or moved a file or folder,NG,17.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,Rural,,,,,,Copied or moved a file or folder,NG,3.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-24,,,,,Copied or moved a file or folder,NG,7.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-19,,,,,Copied or moved a file or folder,NG,4.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-17,,,,,Copied or moved a file or folder,NG,3.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,18-19,,,,,Copied or moved a file or folder,NG,4.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,20-24,,,,,Copied or moved a file or folder,NG,11.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,25-29,,,,,Copied or moved a file or folder,NG,13.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,30-34,,,,,Copied or moved a file or folder,NG,11.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,35-39,,,,,Copied or moved a file or folder,NG,10.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,40-44,,,,,Copied or moved a file or folder,NG,10.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,45-49,,,,,Copied or moved a file or folder,NG,7.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Hausa,,,,Copied or moved a file or folder,NG,5.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Igbo,,,,Copied or moved a file or folder,NG,12.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Yoruba,,,,Copied or moved a file or folder,NG,17.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Fulani,,,,Copied or moved a file or folder,NG,2.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Kanuri,,,,Copied or moved a file or folder,NG,5.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Ijaw,,,,Copied or moved a file or folder,NG,4.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Tiv,,,,Copied or moved a file or folder,NG,3.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Ibibio,,,,Copied or moved a file or folder,NG,11.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Edo,,,,Copied or moved a file or folder,NG,19.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Other ethnicity,,,,Copied or moved a file or folder,NG,8.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Poorest,,,Copied or moved a file or folder,NG,0.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Second,,,Copied or moved a file or folder,NG,1.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Middle,,,Copied or moved a file or folder,NG,3.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Fourth,,,Copied or moved a file or folder,NG,8.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Richest,,,Copied or moved a file or folder,NG,29.6
