Year,Series,Sector,Category of school,School type,Geopolitical zone,State,Type of service,Units,GeoCode,Value
2021,"Proportion of schools access basic services, by type of service",,,,,,Avaliability of perimeter fencing,Percentage (%),NG,34.2
2021,"Proportion of schools access basic services, by type of service",,,,North Central,,Avaliability of perimeter fencing,Percentage (%),NGNCZ06,13.8
2021,"Proportion of schools access basic services, by type of service",,,,North East,,Avaliability of perimeter fencing,Percentage (%),NGNEZ05,24.8
2021,"Proportion of schools access basic services, by type of service",,,,North West,,Avaliability of perimeter fencing,Percentage (%),NGNWZ04,27.1
2021,"Proportion of schools access basic services, by type of service",,,,South East,,Avaliability of perimeter fencing,Percentage (%),NGSEZ03,31.2
2021,"Proportion of schools access basic services, by type of service",,,,South South,,Avaliability of perimeter fencing,Percentage (%),NGSSZ02,44.2
2021,"Proportion of schools access basic services, by type of service",,,,South West,,Avaliability of perimeter fencing,Percentage (%),NGSWZ01,57.1
2020,"Proportion of schools access basic services, by type of service",Urban,,,,,Avaliability of perimeter fencing,Percentage (%),NG,66.2
2021,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Avaliability of perimeter fencing,Percentage (%),NG,56.6
2021,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Avaliability of perimeter fencing,Percentage (%),NG,70.8
2021,"Proportion of schools access basic services, by type of service",Rural,,,,,Avaliability of perimeter fencing,Percentage (%),NG,19.3
2021,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Avaliability of perimeter fencing,Percentage (%),NG,14.3
2021,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Avaliability of perimeter fencing,Percentage (%),NG,20.0
2021,"Proportion of schools access basic services, by type of service",Small Town,,,,,Avaliability of perimeter fencing,Percentage (%),NG,39.7
2021,"Proportion of schools access basic services, by type of service",,Normal,,,,Avaliability of perimeter fencing,Percentage (%),NG,34.1
2021,"Proportion of schools access basic services, by type of service",,Special Needs,,,,Avaliability of perimeter fencing,Percentage (%),NG,60.3
2021,"Proportion of schools access basic services, by type of service",,,Primary,,,Avaliability of perimeter fencing,Percentage (%),NG,32.2
2021,"Proportion of schools access basic services, by type of service",,,Secondary,,,Avaliability of perimeter fencing,Percentage (%),NG,42.0
2021,"Proportion of schools access basic services, by type of service",,,,,Abia,Avaliability of perimeter fencing,Percentage (%),NGAB01,31.6
2021,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Avaliability of perimeter fencing,Percentage (%),NGAD02,26.0
2021,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Avaliability of perimeter fencing,Percentage (%),NGAK03,13.6
2021,"Proportion of schools access basic services, by type of service",,,,,Anambra,Avaliability of perimeter fencing,Percentage (%),NGAN04,58.6
2021,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Avaliability of perimeter fencing,Percentage (%),NGBA05,10.0
2021,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Avaliability of perimeter fencing,Percentage (%),NGBY06,15.2
2021,"Proportion of schools access basic services, by type of service",,,,,Benue,Avaliability of perimeter fencing,Percentage (%),NGBE07,6.0
2021,"Proportion of schools access basic services, by type of service",,,,,Borno,Avaliability of perimeter fencing,Percentage (%),NGBO08,59.2
2021,"Proportion of schools access basic services, by type of service",,,,,Cross River,Avaliability of perimeter fencing,Percentage (%),NGXR09,21.3
2021,"Proportion of schools access basic services, by type of service",,,,,Delta,Avaliability of perimeter fencing,Percentage (%),NGDE10,86.7
2021,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Avaliability of perimeter fencing,Percentage (%),NGEB11,26.6
2021,"Proportion of schools access basic services, by type of service",,,,,Edo,Avaliability of perimeter fencing,Percentage (%),NGED12,44.8
2021,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Avaliability of perimeter fencing,Percentage (%),NGEK13,24.9
2021,"Proportion of schools access basic services, by type of service",,,,,Enugu,Avaliability of perimeter fencing,Percentage (%),NGEN14,19.2
2021,"Proportion of schools access basic services, by type of service",,,,,Gombe,Avaliability of perimeter fencing,Percentage (%),NGGO15,11.4
2021,"Proportion of schools access basic services, by type of service",,,,,Imo,Avaliability of perimeter fencing,Percentage (%),NGIM16,20.2
2021,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Avaliability of perimeter fencing,Percentage (%),NGJI17,4.8
2021,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Avaliability of perimeter fencing,Percentage (%),NGKD18,29.5
2021,"Proportion of schools access basic services, by type of service",,,,,Kano,Avaliability of perimeter fencing,Percentage (%),NGKN19,22.3
2021,"Proportion of schools access basic services, by type of service",,,,,Katsina,Avaliability of perimeter fencing,Percentage (%),NGKT20,30.5
2021,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Avaliability of perimeter fencing,Percentage (%),NGKE21,21.4
2021,"Proportion of schools access basic services, by type of service",,,,,Kogi,Avaliability of perimeter fencing,Percentage (%),NGKO22,2.2
2021,"Proportion of schools access basic services, by type of service",,,,,Kwara,Avaliability of perimeter fencing,Percentage (%),NGKW23,8.7
2021,"Proportion of schools access basic services, by type of service",,,,,Lagos,Avaliability of perimeter fencing,Percentage (%),NGLA24,95.3
2021,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Avaliability of perimeter fencing,Percentage (%),NGNA25,6.9
2021,"Proportion of schools access basic services, by type of service",,,,,Niger,Avaliability of perimeter fencing,Percentage (%),NGNI26,18.1
2021,"Proportion of schools access basic services, by type of service",,,,,Ogun,Avaliability of perimeter fencing,Percentage (%),NGOG27,21.7
