Year,Series,Units,Value
2015,Proportion of seats held by women in (a) national parliaments,Percentage (%),6.4
2016,Proportion of seats held by women in (a) national parliaments,Percentage (%),6.4
2017,Proportion of seats held by women in (a) national parliaments,Percentage (%),6.4
2018,Proportion of seats held by women in (a) national parliaments,Percentage (%),6.4
2015,Proportion of seats held by women in (a1) Senate,Percentage (%),6.42
2016,Proportion of seats held by women in (a1) Senate,Percentage (%),6.42
2017,Proportion of seats held by women in (a1) Senate,Percentage (%),6.42
2018,Proportion of seats held by women in (a1) Senate,Percentage (%),6.42
2015,Proportion of seats held by women in (a2) House of representatives,Percentage (%),6.39
2016,Proportion of seats held by women in (a2) House of representatives,Percentage (%),6.39
2017,Proportion of seats held by women in (a2) House of representatives,Percentage (%),6.39
2018,Proportion of seats held by women in (a2) House of representatives,Percentage (%),6.39
2019,Proportion of seats held by women in (a) national parliaments,Percentage (%),4.09
2020,Proportion of seats held by women in (a) national parliaments,Percentage (%),4.09
2021,Proportion of seats held by women in (a) national parliaments,Percentage (%),4.09
2022,Proportion of seats held by women in (a) national parliaments,Percentage (%),4.09
2019,Proportion of seats held by women in (a1) Senate,Percentage (%),6.67
2020,Proportion of seats held by women in (a1) Senate,Percentage (%),6.67
2021,Proportion of seats held by women in (a1) Senate,Percentage (%),6.67
2022,Proportion of seats held by women in (a1) Senate,Percentage (%),6.67
2019,Proportion of seats held by women in (a2) House of representatives,Percentage (%),3.34
2020,Proportion of seats held by women in (a2) House of representatives,Percentage (%),3.34
2021,Proportion of seats held by women in (a2) House of representatives,Percentage (%),3.34
2022,Proportion of seats held by women in (a2) House of representatives,Percentage (%),3.34
