Year,Series,Sector,Wealth Index Quintile,Geopolitical zone,State,Units,GeoCode,Value
2021,Proportion of population using (a) safely managed sanitation services,,,,,Percentage (%),NG,17.8
2021,Proportion of population using (a) safely managed sanitation services,,,North Central,,Percentage (%),NGNCZ06,19.0
2021,Proportion of population using (a) safely managed sanitation services,,,North East,,Percentage (%),NGNEZ05,29.2
2021,Proportion of population using (a) safely managed sanitation services,,,North West,,Percentage (%),NGNWZ04,15.7
2021,Proportion of population using (a) safely managed sanitation services,,,South East,,Percentage (%),NGSEZ03,16.1
2021,Proportion of population using (a) safely managed sanitation services,,,South South,,Percentage (%),NGSSZ02,13.5
2021,Proportion of population using (a) safely managed sanitation services,,,South West,,Percentage (%),NGSWZ01,13.4
2020,Proportion of population using (a) safely managed sanitation services,Urban,,,,Percentage (%),NG,19.9
2021,Proportion of population using (a) safely managed sanitation services,Peri-Urban,,,,Percentage (%),NG,17.1
2021,Proportion of population using (a) safely managed sanitation services,Urban-Urban,,,,Percentage (%),NG,20.4
2021,Proportion of population using (a) safely managed sanitation services,Rural,,,,Percentage (%),NG,17.7
2021,Proportion of population using (a) safely managed sanitation services,Itenerant,,,,Percentage (%),NG,17.4
2021,Proportion of population using (a) safely managed sanitation services,Rural-Rural,,,,Percentage (%),NG,17.2
2021,Proportion of population using (a) safely managed sanitation services,Small Town,,,,Percentage (%),NG,21.0
2021,Proportion of population using (a) safely managed sanitation services,,Poorest,,,Percentage (%),NG,8.2
2021,Proportion of population using (a) safely managed sanitation services,,Second,,,Percentage (%),NG,12.9
2021,Proportion of population using (a) safely managed sanitation services,,Middle,,,Percentage (%),NG,19.7
2021,Proportion of population using (a) safely managed sanitation services,,Fourth,,,Percentage (%),NG,24.4
2021,Proportion of population using (a) safely managed sanitation services,,Richest,,,Percentage (%),NG,22.7
2021,Proportion of population using (a) safely managed sanitation services,,,,Abia,Percentage (%),NGAB01,55.5
2021,Proportion of population using (a) safely managed sanitation services,,,,Adamawa,Percentage (%),NGAD02,35.4
2021,Proportion of population using (a) safely managed sanitation services,,,,Akwa Ibom,Percentage (%),NGAK03,43.7
2021,Proportion of population using (a) safely managed sanitation services,,,,Anambra,Percentage (%),NGAN04,5.9
2021,Proportion of population using (a) safely managed sanitation services,,,,Bauchi,Percentage (%),NGBA05,41.1
2021,Proportion of population using (a) safely managed sanitation services,,,,Bayelsa,Percentage (%),NGBY06,3.0
2021,Proportion of population using (a) safely managed sanitation services,,,,Benue,Percentage (%),NGBE07,21.9
2021,Proportion of population using (a) safely managed sanitation services,,,,Borno,Percentage (%),NGBO08,30.0
2021,Proportion of population using (a) safely managed sanitation services,,,,Cross River,Percentage (%),NGXR09,19.9
2021,Proportion of population using (a) safely managed sanitation services,,,,Delta,Percentage (%),NGDE10,12.6
2021,Proportion of population using (a) safely managed sanitation services,,,,Ebonyi,Percentage (%),NGEB11,4.3
2021,Proportion of population using (a) safely managed sanitation services,,,,Edo,Percentage (%),NGED12,7.9
2021,Proportion of population using (a) safely managed sanitation services,,,,Ekiti,Percentage (%),NGEK13,13.4
2021,Proportion of population using (a) safely managed sanitation services,,,,Enugu,Percentage (%),NGEN14,14.3
2021,Proportion of population using (a) safely managed sanitation services,,,,Gombe,Percentage (%),NGGO15,23.7
2021,Proportion of population using (a) safely managed sanitation services,,,,Imo,Percentage (%),NGIM16,27.6
2021,Proportion of population using (a) safely managed sanitation services,,,,Jigawa,Percentage (%),NGJI17,27.8
2021,Proportion of population using (a) safely managed sanitation services,,,,Kaduna,Percentage (%),NGKD18,12.7
2021,Proportion of population using (a) safely managed sanitation services,,,,Kano,Percentage (%),NGKN19,16.9
2021,Proportion of population using (a) safely managed sanitation services,,,,Katsina,Percentage (%),NGKT20,13.8
2021,Proportion of population using (a) safely managed sanitation services,,,,Kebbi,Percentage (%),NGKE21,1.3
2021,Proportion of population using (a) safely managed sanitation services,,,,Kogi,Percentage (%),NGKO22,4.6
2021,Proportion of population using (a) safely managed sanitation services,,,,Kwara,Percentage (%),NGKW23,16.4
2021,Proportion of population using (a) safely managed sanitation services,,,,Lagos,Percentage (%),NGLA24,15.0
2021,Proportion of population using (a) safely managed sanitation services,,,,Nasarawa,Percentage (%),NGNA25,16.3
2021,Proportion of population using (a) safely managed sanitation services,,,,Niger,Percentage (%),NGNI26,22.3
2021,Proportion of population using (a) safely managed sanitation services,,,,Ogun,Percentage (%),NGOG27,11.5
2021,Proportion of population using (a) safely managed sanitation services,,,,Ondo,Percentage (%),NGON28,18.9
2021,Proportion of population using (a) safely managed sanitation services,,,,Osun,Percentage (%),NGOS29,25.9
2021,Proportion of population using (a) safely managed sanitation services,,,,Oyo,Percentage (%),NGOY30,10.2
2021,Proportion of population using (a) safely managed sanitation services,,,,Plateau,Percentage (%),NGPL31,19.2
2021,Proportion of population using (a) safely managed sanitation services,,,,Rivers,Percentage (%),NGRI32,12.8
2021,Proportion of population using (a) safely managed sanitation services,,,,Sokoto,Percentage (%),NGSO33,33.3
2021,Proportion of population using (a) safely managed sanitation services,,,,Taraba,Percentage (%),NGTA34,20.2
2021,Proportion of population using (a) safely managed sanitation services,,,,Yobe,Percentage (%),NGYO35,17.2
2021,Proportion of population using (a) safely managed sanitation services,,,,Zamfara,Percentage (%),NGZA36,8.5
2021,Proportion of population using (a) safely managed sanitation services,,,,Federal Capital Territory,Percentage (%),NGFC37,28.2
2019,Proportion of population using (a) safely managed sanitation services,,,,,Percentage (%),NG,20.9
2019,Proportion of population using (a) safely managed sanitation services,,,North Central,,Percentage (%),NGNCZ06,14.0
2019,Proportion of population using (a) safely managed sanitation services,,,North East,,Percentage (%),NGNEZ05,22.2
2019,Proportion of population using (a) safely managed sanitation services,,,North West,,Percentage (%),NGNWZ04,24.1
2019,Proportion of population using (a) safely managed sanitation services,,,South East,,Percentage (%),NGSEZ03,26.0
2019,Proportion of population using (a) safely managed sanitation services,,,South South,,Percentage (%),NGSSZ02,22.3
2019,Proportion of population using (a) safely managed sanitation services,,,South West,,Percentage (%),NGSWZ01,17.5
2019,Proportion of population using (a) safely managed sanitation services,Urban,,,,Percentage (%),NG,24.9
2019,Proportion of population using (a) safely managed sanitation services,Peri-Urban,,,,Percentage (%),NG,24.8
2019,Proportion of population using (a) safely managed sanitation services,Urban-Urban,,,,Percentage (%),NG,24.9
2019,Proportion of population using (a) safely managed sanitation services,Rural,,,,Percentage (%),NG,19.2
2019,Proportion of population using (a) safely managed sanitation services,Itenerant,,,,Percentage (%),NG,17.2
2019,Proportion of population using (a) safely managed sanitation services,Rural-Rural,,,,Percentage (%),NG,18.8
2019,Proportion of population using (a) safely managed sanitation services,Small Town,,,,Percentage (%),NG,22.3
2019,Proportion of population using (a) safely managed sanitation services,,Poorest,,,Percentage (%),NG,12.2
2019,Proportion of population using (a) safely managed sanitation services,,Second,,,Percentage (%),NG,17.4
2019,Proportion of population using (a) safely managed sanitation services,,Middle,,,Percentage (%),NG,20.2
2019,Proportion of population using (a) safely managed sanitation services,,Fourth,,,Percentage (%),NG,22.7
2019,Proportion of population using (a) safely managed sanitation services,,Richest,,,Percentage (%),NG,33.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Abia,Percentage (%),NGAB01,28.4
2019,Proportion of population using (a) safely managed sanitation services,,,,Adamawa,Percentage (%),NGAD02,28.9
2019,Proportion of population using (a) safely managed sanitation services,,,,Akwa Ibom,Percentage (%),NGAK03,28.2
2019,Proportion of population using (a) safely managed sanitation services,,,,Anambra,Percentage (%),NGAN04,33.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Bauchi,Percentage (%),NGBA05,20.5
2019,Proportion of population using (a) safely managed sanitation services,,,,Bayelsa,Percentage (%),NGBY06,12.9
2019,Proportion of population using (a) safely managed sanitation services,,,,Benue,Percentage (%),NGBE07,11.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Borno,Percentage (%),NGBO08,22.8
2019,Proportion of population using (a) safely managed sanitation services,,,,Cross River,Percentage (%),NGXR09,17.1
2019,Proportion of population using (a) safely managed sanitation services,,,,Delta,Percentage (%),NGDE10,24.4
2019,Proportion of population using (a) safely managed sanitation services,,,,Ebonyi,Percentage (%),NGEB11,6.7
2019,Proportion of population using (a) safely managed sanitation services,,,,Edo,Percentage (%),NGED12,23.8
2019,Proportion of population using (a) safely managed sanitation services,,,,Ekiti,Percentage (%),NGEK13,12.0
2019,Proportion of population using (a) safely managed sanitation services,,,,Enugu,Percentage (%),NGEN14,17.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Gombe,Percentage (%),NGGO15,27.7
2019,Proportion of population using (a) safely managed sanitation services,,,,Imo,Percentage (%),NGIM16,34.2
2019,Proportion of population using (a) safely managed sanitation services,,,,Jigawa,Percentage (%),NGJI17,19.5
2019,Proportion of population using (a) safely managed sanitation services,,,,Kaduna,Percentage (%),NGKD18,27.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Kano,Percentage (%),NGKN19,31.6
2019,Proportion of population using (a) safely managed sanitation services,,,,Katsina,Percentage (%),NGKT20,22.2
2019,Proportion of population using (a) safely managed sanitation services,,,,Kebbi,Percentage (%),NGKE21,17.1
2019,Proportion of population using (a) safely managed sanitation services,,,,Kogi,Percentage (%),NGKO22,12.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Kwara,Percentage (%),NGKW23,6.2
2019,Proportion of population using (a) safely managed sanitation services,,,,Lagos,Percentage (%),NGLA24,28.0
2019,Proportion of population using (a) safely managed sanitation services,,,,Nasarawa,Percentage (%),NGNA25,13.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Niger,Percentage (%),NGNI26,18.2
2019,Proportion of population using (a) safely managed sanitation services,,,,Ogun,Percentage (%),NGOG27,16.3
2019,Proportion of population using (a) safely managed sanitation services,,,,Ondo,Percentage (%),NGON28,13.8
2019,Proportion of population using (a) safely managed sanitation services,,,,Osun,Percentage (%),NGOS29,16.0
2019,Proportion of population using (a) safely managed sanitation services,,,,Oyo,Percentage (%),NGOY30,6.7
2019,Proportion of population using (a) safely managed sanitation services,,,,Plateau,Percentage (%),NGPL31,12.6
2019,Proportion of population using (a) safely managed sanitation services,,,,Rivers,Percentage (%),NGRI32,21.1
2019,Proportion of population using (a) safely managed sanitation services,,,,Sokoto,Percentage (%),NGSO33,18.5
2019,Proportion of population using (a) safely managed sanitation services,,,,Taraba,Percentage (%),NGTA34,15.7
2019,Proportion of population using (a) safely managed sanitation services,,,,Yobe,Percentage (%),NGYO35,16.5
2019,Proportion of population using (a) safely managed sanitation services,,,,Zamfara,Percentage (%),NGZA36,19.0
2019,Proportion of population using (a) safely managed sanitation services,,,,Federal Capital Territory,Percentage (%),NGFC37,22.4
2018,Proportion of population using (a) safely managed sanitation services,,,,,Percentage (%),NG,19.2
2018,Proportion of population using (a) safely managed sanitation services,,,North Central,,Percentage (%),NGNCZ06,14.5
2018,Proportion of population using (a) safely managed sanitation services,,,North East,,Percentage (%),NGNEZ05,20.0
2018,Proportion of population using (a) safely managed sanitation services,,,North West,,Percentage (%),NGNWZ04,20.5
2018,Proportion of population using (a) safely managed sanitation services,,,South East,,Percentage (%),NGSEZ03,26.3
2018,Proportion of population using (a) safely managed sanitation services,,,South South,,Percentage (%),NGSSZ02,18.0
2018,Proportion of population using (a) safely managed sanitation services,,,South West,,Percentage (%),NGSWZ01,17.4
2018,Proportion of population using (a) safely managed sanitation services,Urban,,,,Percentage (%),NG,24.0
2018,Proportion of population using (a) safely managed sanitation services,Peri-Urban,,,,Percentage (%),NG,19.3
2018,Proportion of population using (a) safely managed sanitation services,Urban-Urban,,,,Percentage (%),NG,25.1
2018,Proportion of population using (a) safely managed sanitation services,Rural,,,,Percentage (%),NG,17.2
2018,Proportion of population using (a) safely managed sanitation services,Itenerant,,,,Percentage (%),NG,11.6
2018,Proportion of population using (a) safely managed sanitation services,Rural-Rural,,,,Percentage (%),NG,17.2
2018,Proportion of population using (a) safely managed sanitation services,Small Town,,,,Percentage (%),NG,19.8
2018,Proportion of population using (a) safely managed sanitation services,,Poorest,,,Percentage (%),NG,12.0
2018,Proportion of population using (a) safely managed sanitation services,,Second,,,Percentage (%),NG,14.6
2018,Proportion of population using (a) safely managed sanitation services,,Middle,,,Percentage (%),NG,15.81
2018,Proportion of population using (a) safely managed sanitation services,,Fourth,,,Percentage (%),NG,20.5
2018,Proportion of population using (a) safely managed sanitation services,,Richest,,,Percentage (%),NG,34.2
