Year,Series,Sector,Wealth Index Quintile,Geopolitical zone,State,Managed by,Units,GeoCode,Value
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,,facility caretaker,Percentage (%),NG,25.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North Central,,facility caretaker,Percentage (%),NGNCZ06,37.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North East,,facility caretaker,Percentage (%),NGNEZ05,20.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North West,,facility caretaker,Percentage (%),NGNWZ04,20.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South East,,facility caretaker,Percentage (%),NGSEZ03,11.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South South,,facility caretaker,Percentage (%),NGSSZ02,46.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South West,,facility caretaker,Percentage (%),NGSWZ01,45.6
2020,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban,,,,facility caretaker,Percentage (%),NG,35.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Peri-Urban,,,,facility caretaker,Percentage (%),NG,40.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban-Urban,,,,facility caretaker,Percentage (%),NG,34.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural,,,,facility caretaker,Percentage (%),NG,23.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Itenerant,,,,facility caretaker,Percentage (%),NG,4.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural-Rural,,,,facility caretaker,Percentage (%),NG,21.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Small Town,,,,facility caretaker,Percentage (%),NG,32.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Poorest,,,facility caretaker,Percentage (%),NG,16.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Second,,,facility caretaker,Percentage (%),NG,20.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Middle,,,facility caretaker,Percentage (%),NG,30.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Fourth,,,facility caretaker,Percentage (%),NG,37.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Richest,,,facility caretaker,Percentage (%),NG,46.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Abia,facility caretaker,Percentage (%),NGAB01,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Adamawa,facility caretaker,Percentage (%),NGAD02,33.6
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Akwa Ibom,facility caretaker,Percentage (%),NGAK03,28.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Anambra,facility caretaker,Percentage (%),NGAN04,5.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bauchi,facility caretaker,Percentage (%),NGBA05,18.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bayelsa,facility caretaker,Percentage (%),NGBY06,49.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Benue,facility caretaker,Percentage (%),NGBE07,29.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Borno,facility caretaker,Percentage (%),NGBO08,16.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Cross River,facility caretaker,Percentage (%),NGXR09,48.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Delta,facility caretaker,Percentage (%),NGDE10,3.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ebonyi,facility caretaker,Percentage (%),NGEB11,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Edo,facility caretaker,Percentage (%),NGED12,44.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ekiti,facility caretaker,Percentage (%),NGEK13,19.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Enugu,facility caretaker,Percentage (%),NGEN14,24.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Gombe,facility caretaker,Percentage (%),NGGO15,10.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Imo,facility caretaker,Percentage (%),NGIM16,24.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Jigawa,facility caretaker,Percentage (%),NGJI17,19.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kaduna,facility caretaker,Percentage (%),NGKD18,39.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kano,facility caretaker,Percentage (%),NGKN19,14.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Katsina,facility caretaker,Percentage (%),NGKT20,11.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kebbi,facility caretaker,Percentage (%),NGKE21,18.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kogi,facility caretaker,Percentage (%),NGKO22,14.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kwara,facility caretaker,Percentage (%),NGKW23,53.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Lagos,facility caretaker,Percentage (%),NGLA24,65.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Nasarawa,facility caretaker,Percentage (%),NGNA25,57.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Niger,facility caretaker,Percentage (%),NGNI26,29.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ogun,facility caretaker,Percentage (%),NGOG27,27.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ondo,facility caretaker,Percentage (%),NGON28,57.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Osun,facility caretaker,Percentage (%),NGOS29,47.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Oyo,facility caretaker,Percentage (%),NGOY30,34.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Plateau,facility caretaker,Percentage (%),NGPL31,9.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Rivers,facility caretaker,Percentage (%),NGRI32,70.6
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Sokoto,facility caretaker,Percentage (%),NGSO33,33.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Taraba,facility caretaker,Percentage (%),NGTA34,16.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Yobe,facility caretaker,Percentage (%),NGYO35,31.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Zamfara,facility caretaker,Percentage (%),NGZA36,45.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Federal Capital Territory,facility caretaker,Percentage (%),NGFC37,49.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,,volunteers,Percentage (%),NG,23.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North Central,,volunteers,Percentage (%),NGNCZ06,17.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North East,,volunteers,Percentage (%),NGNEZ05,30.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North West,,volunteers,Percentage (%),NGNWZ04,20.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South East,,volunteers,Percentage (%),NGSEZ03,21.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South South,,volunteers,Percentage (%),NGSSZ02,24.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South West,,volunteers,Percentage (%),NGSWZ01,16.1
2020,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban,,,,volunteers,Percentage (%),NG,27.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Peri-Urban,,,,volunteers,Percentage (%),NG,19.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban-Urban,,,,volunteers,Percentage (%),NG,29.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural,,,,volunteers,Percentage (%),NG,22.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Itenerant,,,,volunteers,Percentage (%),NG,4.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural-Rural,,,,volunteers,Percentage (%),NG,24.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Small Town,,,,volunteers,Percentage (%),NG,17.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Poorest,,,volunteers,Percentage (%),NG,19.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Second,,,volunteers,Percentage (%),NG,29.4
