Year,Series,Value
2018,"(a) Number of commercial bank branches per 100,000 adults",5301
2019,"(a) Number of commercial bank branches per 100,000 adults",5437
2020,"(a) Number of commercial bank branches per 100,000 adults",5383
2021,"(a) Number of commercial bank branches per 100,000 adults",4861
2022,"(a) Number of commercial bank branches per 100,000 adults",5410
2018,"(b) number of automated teller machines (ATMs) per 100,000 adults",112139743
2019,"(b) number of automated teller machines (ATMs) per 100,000 adults",115150752
2020,"(b) number of automated teller machines (ATMs) per 100,000 adults",118262226
2021,"(b) number of automated teller machines (ATMs) per 100,000 adults",121534889
2022,"(b) number of automated teller machines (ATMs) per 100,000 adults",125538430
