Year,Series,Distance,Geopolitical zone,State,GeoCode,Value
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,,NG,75.4
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,North Central,,NGNCZ06,76.8
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,North East,,NGNEZ05,73.0
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,North West,,NGNWZ04,81.2
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,South East,,NGSEZ03,67.9
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,South South,,NGSSZ02,75.3
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,South West,,NGSWZ01,77.9
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Abia,NGAB01,61.5
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Adamawa,NGAD02,65.7
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Akwa Ibom,NGAK03,67.9
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Anambra,NGAN04,77.3
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Bauchi,NGBA05,80.9
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Bayelsa,NGBY06,86.7
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Benue,NGBE07,73.1
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Borno,NGBO08,77.4
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Cross River,NGXR09,76.2
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Delta,NGDE10,67.0
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Ebonyi,NGEB11,53.5
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Edo,NGED12,84.0
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Ekiti,NGEK13,87.4
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Enugu,NGEN14,66.8
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Gombe,NGGO15,83.2
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Imo,NGIM16,71.7
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Jigawa,NGJI17,87.9
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Kaduna,NGKD18,72.5
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Kano,NGKN19,80.0
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Katsina,NGKT20,81.5
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Kebbi,NGKE21,87.5
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Kogi,NGKO22,70.4
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Kwara,NGKW23,80.9
2022,Distance of nearest market where farmers sell their goods,Less than 1 KM,,Lagos,NGLA24,89.0
