Year,Value,Units,Series,GeoCode
2022,40.7,Percentage (%),"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",NG
2022,14990674.0,Number of children,"Proportion and number of children aged 5-11 years engaged in child labour, by sex and age",NG
2022,37.0,Percentage (%),"Proportion and number of children aged 12-14 years engaged in child labour, by sex and age",NG
2022,5132574.0,Number of children,"Proportion and number of children aged 12-14 years engaged in child labour, by sex and age",NG
2022,39.7,Percentage (%),"Proportion and number of children aged 5-14 years engaged in child labour, by sex and age",NG
2022,20123248.0,Number of children,"Proportion and number of children aged 5-14 years engaged in child labour, by sex and age",NG
2022,39.2,Percentage (%),"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",NG
2022,24673485.0,Number of children,"Proportion and number of children aged 15-17 years engaged in child labour, by sex and age",NG
2022,39.2,Percentage (%),"Proportion and number of children aged 5-17 years engaged in child labour, by sex and age",NG
2022,44796733.0,Number of children,"Proportion and number of children aged 5-17 years engaged in child labour, by sex and age",NG
